document_id,extracted_text,event,event_description,setting,characters,plot,moral,meta_category
CREC-2022-03-09-pt1-PgH1420-6,"DX.65103] (RIN: 1090-AB15) received February 22, 2022, pursuant to 5 U.S.C. 801(a)(1)(A); Public Law 104-121, Sec. 251; (110 Stat. 868); to the Committee on Natural Resources. EC–3590. A letter from the Special Assistant, Office of Protected Resources, National Oceanic and Atmospheric Administration, transmitting the Administration’s final rule — Swim With and Approach Regulation for Hawaiian Spinner Dolphins Under the Marine Mammal Protection Act [Docket No.: 210901-0173] (RIN: 0648-AU02) received February 22, 2022, pursuant to

801(a)(1)(A); Public Law 104-121, Sec. 251; (110 Stat. 868); to the Committee on Natural Resources. EC–3591. A letter from the Special Assistant, Office of Protected Resources, National Oceanic and Atmospheric Administration, transmitting the Administration’s final rule — Endangered and Threatened Species; Removal of Siderastrea glynni From the Federal List of Threatened and Endangered Species [Docket No.: 211202-0250] (RTID: 0648XR115) received February 22, 2022, pursuant to 5 U.S.C. 801(a)(1)(A); Public Law 104-121,

EC–3592. A letter from the Special Assistant, Office of Protected Resources, National Oceanic and Atmospheric Administration, transmitting the Administration’s final rule — Revisions to Hatchery Programs Included as Part of Pacific Salmon and Steelhead Species Listed Under the Endangered Species Act [Docket No.: 201123-0313; RTID 0648XE804] received February 22, 2022, pursuant to 5 U.S.C. 801(a)(1)(A); Public Law 104-121,

National Park Service, the Japanese American World War II History Network, and for other purposes (Rept. 117–262). Referred to the Committee of the Whole House on the state of the Union. Mr. GRIJALVA: Committee on Natural Resources. H.R. 5001. A bill to authorize the Secretary of the Interior to continue to implement endangered fish recovery programs for the Upper Colorado and San Juan River Basins, and for other purposes; with an",species delisting,Removal of Siderastrea glynni from the Federal List of Threatened and Endangered Species.,"Committee on Natural Resources, legislative context",National Oceanic and Atmospheric Administration [Hero],"The National Oceanic and Atmospheric Administration transmits a final rule to remove Siderastrea glynni from the Federal List of Threatened and Endangered Species, indicating a regulatory action that impacts species conservation.","The removal of Siderastrea glynni from the endangered species list reflects successful conservation efforts, and Congress should support continued regulatory actions that promote species recovery and management.",ESA Species Delisting
CREC-2022-03-15-pt1-PgH3722,"This area is the site of the last intact sand dune ecosystem in Hawaii and an important cultural site that, according to some Hawaiian tradition, is where the souls of the deceased leapt into the next plane of existence. Rich with wildlife and thriving biodiversity, the area is home to various protected species, including laysan albatrosses, the wedge-tailed shearwaters, monk seals, and fragile native plants. I congratulate my colleague, Representative CASE, for championing this bill on behalf of his constituents. I urge my colleagues to support the legisla-

tion, and I reserve the balance of my time. Mr. WESTERMAN. Mr. Speaker, I yield myself such time as I may consume. H.R. 1908, offered by Congressman CASE of Hawaii, requires the Secretary of the Interior to conduct a study to assess the suitability and feasibility of designating Ka’ena Point National Heritage Area. The study authorized by this bill focuses on an undeveloped area on the west end of O’ahu that is home to the last intact sand dune species in Hawaii. As the chairman pointed out, this point is also inhabited by various protected species, the wedge-tailed shearwaters, monk seals, and rare native plants. The feasibility study that this bill authorizes will be conducted in consultation with State and local historic preservation officers, historical societies, and tourism offices. Some day I hope to be able to visit this Ka’ena Point with Congressman CASE. I urge adoption of the bill, and I reserve the balance of my time. Mr. GRIJALVA. Mr. Speaker, I yield such time as he may consume to the gentleman from Hawaii (Mr. CASE), the sponsor of the legislation. Mr. CASE. Mr. Speaker, I rise today in strong support of H.R. 1908, the Ka’ena Point National Heritage Area Act. I wish first to recognize and say ‘‘mahalo,’’ or thank you, to my partner in our Hawaii congressional delegation, Representative KAIALI’I KAHELE, who co-introduced this bill with me. Our bill directs the U.S. Department of the Interior to study whether Ka’ena Point, a treasured wilderness area on the western tip of the island of O’ahu, should be designated as a national heritage area, or NHA. The 3-year study would evaluate whether Ka’ena Point holds invaluable resources that reflect our country’s heritage and are worthy of conservation and special recognition nationally. Such a designation would also offer critical support to our local community in Hawaii to conserve the area for present and future use. I am certain that Ka’ena Point is a perfect candidate for NHA designation. It houses a rich cultural and environmental history. It is the location of one of Hawaii’s most sacred places, a leina a ka ‘uhane, a leaping place of souls where, according to native Hawaiian tradition, the spirits of the recently deceased leap from this realm to the next. As one of the last few remaining and easily accessible wilderness areas on O’ahu, the sand dunes of Ka’ena Point are home to a number of endemic and endangered species, such as the Hawaiian monk seal, laysan albatross, and the ohai flower. Our bill will ensure the full collaboration of the local community in preserving the traditions and pristine nature of Ka’ena Point. The community, our local organizations, fishers, hikers, and neighborhood groups, will be fully

engaged throughout the study process and, if the area is eventually designated as an NHA, will be integral partners in the area’s management. Finally, I also thank the chairs and ranking members of my full Committee on Natural Resources and Subcommittee on National Parks, Forests and Public Lands, and our staffs for your understanding and support of our proposal. And yes, to the ranking member, I look forward to showing you Ka’ena Point as soon as you can come out. I urge my colleagues to vote ‘‘yes’’ on this legislation. Mr. WESTERMAN. Mr. Speaker, I reserve the balance of my time. Mr. GRIJALVA. Mr. Speaker, I have no further speakers on the legislation. I reserve the balance of my time. Mr. WESTERMAN. Mr. Speaker, I again urge adoption of the bill, and I yield back the balance of my time. Mr. GRIJALVA. Mr. Speaker, we all know Hawaii is a beautiful State. The bill will help protect and conserve that rich environmental and cultural heritage. I urge my colleagues to support the legislation. And I urge Representative CASE to invite all of us to Hawaii when it is time to see the site. Mr. Speaker, I yield back the balance of my time. Ms. JACKSON LEE. Mr. Speaker, I rise today in strong support of H.R. 1908; the ‘‘Ka’ena Point National Heritage Area Act’’ which authorizes the Secretary of the Interior to conduct a study to assess the suitability and feasibility of designating certain land as the Ka’ena Point National Heritage Area. Different from national parks, national heritage areas are community-based efforts that preserve and share stories about a region’s history and character. Heritage areas contain a mixture of public and private property, including towns, historic sites, parks, trails, commercial districts, and even working farms. National Heritage Areas are a grassroots, community-driven approach to heritage conservation and economic development. Through public-private partnerships, NHA entities support historic preservation, natural resource conservation, recreation, heritage tourism, and educational projects. Leveraging funds and long-term support for projects, NHA partnerships foster pride of place and an enduring stewardship ethic. When an area is designated as an NHA, its inhabitants don’t have to leave. An important aspect of NHAs is that they are intended as a celebration of a living environment, and they improve the local economy around them. The National Parks Service estimates NHAs average $5.50 for every $1.00 of federal investment, bolstering the local economies through their unique ‘‘heritage tourism.’’ Not only are NHAs economically friendly, but they are also climate friendly. Many NHAs improve water and air quality in their regions through restoration projects and encourage people to enjoy natural and cultural sites by providing new recreational opportunities. This modern approach to conservation taken by NHAs should influence the NPS’ approach, extending the appreciation for the nexus between the people and land.",heritage area designation,The bill authorizes a study to assess the feasibility of designating Ka’ena Point as a National Heritage Area.,legislative chamber debate,Representative CASE [Hero]; local community [Victim],"Representative CASE champions the bill to study the feasibility of designating Ka’ena Point as a National Heritage Area, which would involve the local community in conservation efforts and protect the area's cultural and environmental heritage.","The designation of Ka’ena Point as a National Heritage Area is essential for preserving its unique cultural and environmental resources, and Congress should support this bill to empower the local community and enhance conservation efforts.",ESA Habitat / Recovery
CREC-2022-03-15-pt1-PgH3731,"Mr. GRIJALVA. Madam Speaker, I move to suspend the rules and pass the bill (H.R. 5001) to authorize the Secretary of the Interior to continue to implement endangered fish recovery programs for the Upper Colorado and San Juan River Basins, and for other purposes, as amended. The Clerk read the title of the bill. The text of the bill is as follows:

This Act may be cited as the ‘‘Upper Colorado and San Juan River Basins Recovery Act’’.

Mr. GRIJALVA. Madam Speaker, I ask unanimous consent that all Members may have 5 legislative days in which to revise and extend their remarks and include extraneous material on the measure under consideration. The SPEAKER pro tempore. Is there objection to the request of the gentleman from Arizona? There was no objection. Mr. GRIJALVA. Madam Speaker, I yield myself such time as I may consume. Madam Speaker, I rise in support of H.R. 5001, introduced by my Natural Resources Committee colleague, Representative JOE NEGUSE of Colorado. This bipartisan bill will reauthorize two programs that are working to recover threatened and endangered fish in the Upper Colorado River Basin. This legislation will continue the collaboration work of Tribes, water users, environmental groups, local utilities, and State and Federal agencies that are partnering to recover four fish species currently listed under the Endangered Species Act as either threatened or endangered. These programs provide Endangered Species Act compliance for projects that use water resources from the San Juan River and Upper Colorado River Basins, so that these rare native fish can be recovered while human water use can continue. With the conservation actions undertaken through the recovery programs, one fish was downlisted from endangered to threatened last year, and another fish is under consideration for downlisting to threatened as well. This good work is important, and it should continue. I want to commend my colleague, the chair of the National Parks, Forests, and Public Lands Subcommittee, Representative NEGUSE, for his leadership on this bill. Madam Speaker, I urge my colleagues to support the legislation, and I reserve the balance of my time. Mr. WESTERMAN. Madam Speaker, I yield myself such time as I may consume. Madam Speaker, H.R. 5001 would extend the Upper Colorado and San Juan recovery implementation programs and their reporting requirements for an additional year. The programs provide Endangered Species Act compliance for more than 2,500 water and power projects that withdraw more than 3.7 million-acre feet of water for human needs. The program’s goals are to recover four endangered fish species while continuing facility operations with the ultimate goal of species delisting. Last

year, the Fish and Wildlife Service reclassified one of these species, the humpback chub, from endangered to threatened, and proposed a similar reclassification for the razorback sucker. Madam Speaker, if it has razorback in the name, it has to be important, and we need to take care of it. Current law required the Secretary of the Interior to submit a report to Congress by September 30, 2021, on recommendations for the programs post 2023. Unfortunately, the Department of the Interior failed to meet this deadline. As such we are here today extending the programs by 1 year in order to give the administration enough time to complete the report. While I support the extension today, I want to be clear that any further extension of the programs will require an in-depth discussion of the programs’ goals, achievements, and administrative overhead costs. In closing, Madam Speaker, again, I support this bill, I support the razorback sucker, and I yield back the balance of my time. Mr. GRIJALVA. Madam Speaker, it is good to know that the ranking member has a weakness, and so we are going to put razorback in every piece of legislation from now on. Madam Speaker, I have no further speakers, and I yield back the balance of my time. Ms. JACKSON LEE. Madam Speaker, I rise in strong support of H.R. 5001, ‘‘the Upper Colorado and San Juan River Basins Recovery Act’’ which extends through FY2024 the authority of the Department of the Interior to implement construction of facilities for the endangered fish recovery programs for the Upper Colorado and San Juan River basins. The bill also extends through FY2022 the deadline for the submission of the report on the recovery implementation programs. The Upper Colorado River Basin is home to 14 native fish species, including the endangered humpback chub, bonytail, Colorado pikeminnow, and razorback sucker. These endangered fish are found only in the Colorado River system. The Recovery Program is a unique partnership of local, state, and federal agencies, water and power interests, and environmental groups working to recover endangered fish in the Upper Colorado River Basin while water development proceeds in accordance with federal and state laws and interstate compacts. The Upper Colorado River Endangered Fish Recovery Program was first established in 1988 to help bring four species of endangered fish back from the brink of extinction: the humpback chub, bonytail, Colorado pikeminnow, and razorback sucker. This bill will protect those 14 endangered fish species in the Upper Colorado and San Juan River Basin and allow critical water infrastructure projects to continue. The Colorado River provides water to nearly 40 million people, flows through 9 National Parks, and drives a $1.4 trillion economy. If the Colorado River basin were a country, it would be the world’s 7th largest by economic output. On average, 90 percent of streamflow in the Colorado River Basin originates in the Upper

Basin, which is the area above Lees Ferry, Arizona. This water has a multitude of uses that include irrigation, municipal and industrial purposes, mining activities, recreation, and supporting habitat for livestock, fish and wildlife. The Colorado River Basin also has an immense capacity to generate hydropower. Hundreds of hydroelectric dams along the river’s main stem and tributaries have a combined generating capacity of approximately 4,178 megawatts, making it part of the solution for combatting climate change. But the river is stretched to its limit. Climate change and increasing water demand due to an expanding population is and will continue present significant challenges that if left unaddressed, will impact regional and national economies, degrade the environment, challenge agricultural heritage and food production, and limit recreational opportunities from fishing and boating to skiing. Protecting this river basin and its biodiversity is therefore of the utmost importance. Without its biodiversity, this river basin will be thrown out of equilibrium and cease to function and subsequently provide as it has for centuries. This would create a humanitarian disaster for 40 million people and economic disaster for countless more, in addition to the loss of incomparable natural beauty and endangered life. However, under the leadership of Secretary Deb Haaland, whom I hold in the highest regard, I am certain that these 14 species of fish and in turn the Colorado River Basin can be saved, averting unquestionable disaster for millions. This Act is common sense, bipartisan, and ultimately needed legislation that I am proud to support. It is for that reason that I urge my colleagues to support H.R. 5001, The Upper Colorado and San Juan River Basins Recovery Act. The SPEAKER pro tempore. The question is on the motion offered by the gentleman from Arizona (Mr. GRIJALVA) that the House suspend the rules and pass the bill, H.R. 5001, as amended. The question was taken. The SPEAKER pro tempore. In the opinion of the Chair, two-thirds being in the affirmative, the ayes have it. Mr. HARRIS. Madam Speaker, on that I demand the yeas and nays. ant to section 3(s) of House Resolution 8, the yeas and nays are ordered. Pursuant to clause 8 of rule XX, further proceedings on this motion are postponed.",legislative amendment,The bill H.R. 5001 aims to authorize the continuation of endangered fish recovery programs in the Upper Colorado and San Juan River Basins.,NA,NA,NA,NA,ESA Legislative Action
CREC-2022-03-15-pt1-PgH3736-2,"porting local economies and encouraging economic development, promoting infrastructure like roads and bridges and dams, ensuring a strong agricultural industry that feeds the world, and empowering the communities that we represent to embrace expanded domestic energy production and clean energy technologies. Our State, local, and private land managers are conservation partners. Small businesses and local communities are eager to take the reins and make the improvements that we need, but they are consistently held back by bureaucratic red tape, delayed permitting processes that add years and millions of dollars in cost to projects, and outdated laws that don’t take into account the best available science of modern technologies. Over and over again, I hear from my constituents in central Washington State, and also from community leaders from across the United States, that we need to get the Federal Government out of the way. That is why, throughout this month of March, Congressional Western Caucus members are taking the opportunity to highlight why reforming our duplicative and burdensome permitting process is the key to unlocking rural America’s potential. Madam Speaker, broken permitting systems negatively impact the progress that we could be making at nearly every step of the way. The National Environmental Policy Act, or what many refer to as NEPA, is one of the most egregious examples of a well-intentioned law turned into a bureaucratic nightmare for those of us who are working to improve the communities where we live, work, and farm. The Endangered Species Act is another. This landmark species protection law has become outdated, and it is now used as a weapon by serial litigators and misguided environmentalists, who want nothing more than to sue and settle, wasting our limited government resources, which are stalling projects across the United States and disincentivizing investment in rural America. Both of these laws play an important role in protecting lands, waters, and wildlife that we cherish throughout the West and across rural America. But because Congress has not been able to meaningfully reform them, they have actually begun to work against us. ESA regulations can add decades to the permitting processes for forest management projects or projects that would help prevent catastrophic wildfires across the West. In my own home State of Washington, and across the Pacific Northwest, the policies surrounding the northern spotted owl wreaked havoc on our forest industry, destroying—literally destroying—local economies. Now, our region experiences some of the worst wildfires in our Nation’s history. Madam Speaker, that is not a coincidence. Delays and roadblocks, and I in-

elite in Washington, D.C., wonder why our farmers, ranchers, and energy producers struggle. Far-left special interest groups have weaponized, as Mr. NEWHOUSE said, well-intentioned laws like the National Environmental Policy Act and the Endangered Species Act, and they use them as clubs to bludgeon or kill critical infrastructure, natural resource management, and energy and minerals development projects across the United States. Delays in environmental regulatory systems are especially acute. In 2020, the Council on Environmental Quality showed that the average time for a Federal agency to complete a final environmental impact statement through the

Madam Speaker, I thank the gentleman from Washington for yielding to me to speak on this important topic. Most Americans can agree that the Federal Government is very good at creating regulations and making what should often be a simple process extremely complicated. In recent years, Federal permitting regulations have been some of the most overbearing and burdensome of regulations. Landmark environmental protection laws, like the National Environmental Protection Act and the Endangered Species Act have become outdated and grown far too expansive. It is now nearly impossible to secure permits in a timely, efficient, and reasonable manner. From energy and mining projects to infrastructure development and forest management, burdensome and duplicative permitting processes have slowed or halted development throughout rural America. Iowans are all too familiar with the overregulated government permitting process. One such example is the cumbersome and unworkable 2015 waters of the United States rule, also known as

Under the 2015 definition, the Federal government was given the authority to regulate almost any waters, including streams, ditches, ponds, and creeks. In fact, the Federal Government would have the authority to regulate water on 97 percent of the land in Iowa. Let me repeat that: 97 percent of the land in Iowa. This left farmers, ranchers, landowners, and businesses to face confusion and burdensome restrictions on how to use their own property. WOTUS drastically expanded the jurisdiction over bodies of water like

streams and ponds that the Clean Water Act never intended to regulate. Instead of burdening private citizens with confusing and ambiguous standards that could end up costing them thousands of dollars, we should work to ensure that the Federal Government’s clean water efforts are focused on clearly defined bodies of water.

hurt American farmers, ranchers, landowners, and businesses, it caused confusion, and it hindered economic development. To help rural America, the Trump administration issued the 2020 Navigable Waters Protection Rule, also known as NWPR. The NWPR is much more workable and keeps our water and land clean without destroying businesses in the process. Unfortunately, the Biden administration is taking steps to revoke the 2020 NWPR and return to the 2015 WOTUS rule. Reverting back to terrible policies such as the WOTUS rule would have an extreme Federal overreach and would significantly harm small businesses and cripple our country’s economic recovery. The Trump administration also took steps to streamline processes under the National Environmental Protection Act to improve the ability for individuals and businesses to build, improve, and maintain infrastructure by facilitating more efficient, effective, and timely NEPA reviews by Federal agencies. With our economy on the mend, the Biden administration should not be considering unnecessary and overly burdensome government regulations. Reverting back to these policies represents a blatant, unconstitutional power grab aimed at taking Federal control over States in a way that threatens the rights of farmers, ranchers, and all other landowners in Iowa and across our great Nation. We need to let people do their jobs and cut back on the incredible number of Federal regulations in the permitting process. We can protect our Nation’s waterways and make improvements to infrastructure without burdensome regulations. In Iowa and in rural communities throughout the country, we recognize that farmers and ranchers are the original conservationists, and that bureaucratic red tape does not help us grow, prosper, protect our water and our land. Mr. NEWHOUSE. Madam Speaker, I appreciate the gentlewoman’s work on WOTUS and the navigable waters issue. I think I have heard her say something like those things, WOTUS, is truly the most—the worst regulatory overreach in our Nation’s history and it is something we have to stop. I thank the gentlewoman for her work on that. I would like to go just a little bit south from the State of Washington to another State that adjoins my State, and the good gentleman from Oregon, in his first term in Congress, but just doing an excellent job; and I am just delighted to have him as part of this effort.

Coast talk about some of the issues. It always amazes me that our issues are so aligned. But specifically today I am going to talk a little bit about water. So in communities like the Central Valley, Federal permitting requirements, coupled with the State’s strict environmental regulations make it harder for our communities to get the water they so desperately need. Increasing water storage capacity is critical to ensuring a reliable water supply for our valley farmers that feed the country. Unfortunately, our broken permitting process prevents many of these critical water infrastructure projects from ever getting off the ground. We need to fix complex and contradictory laws, court decisions, and regulations at the State and Federal levels that hinder our water storage infrastructure. Layers of unnecessary bureaucracy and red tape in permitting decisions have blocked much of the needed progress on a long list of projects, from water storage, to energy production, to highways. The government red tape in permitting is not only affecting water storage, it is also having a devastating effect on our Nation’s energy supply. There is a backlog of over 4,600 permits to drill pending under the Biden administration, and even though Federal law requires approval of the permits on Federal lands within 30 days, permits often languish at the Department of the Interior for a year or more. This government red tape is hurting families in the Central Valley and across the country in the form of higher gas prices. It is time for the government bureaucracy to get out of the way so we can once again become energy independent. There is no reason that streamlining the Federal permitting process should be a controversial issue. Rural communities like the one I represent are tired of burdensome government regulations holding them back. Greater efficiency in the Federal permitting process is critical for getting water to those in the Central Valley that need it most. And as we saw, from other colleagues that spoke before us, this isn’t just a California issue. And I know that the chairman here, Mr. NEWHOUSE and I, our districts are a lot alike. We both grow a lot of different commodities, and we are proud of our districts. But we both need something that makes it all possible, and that is water and energy. I thank the gentleman for his leadership on these important issues and thank him for giving me the opportunity. Mr. NEWHOUSE. Madam Speaker, the gentleman is right. What is more precious than water? And those of us in the West understand that very well. So, Madam Speaker, let me just say I am very grateful to have colleagues from across this great country join me

801(a)(1)(A); Public Law 104-121, Sec. 251; (110 Stat. 868); to the Committee on Financial Services. EC–3610. A letter from the Counsel for Legislation and Regulation, Office of Hearings and Appeals, Department of Housing and Urban Development, transmitting the Department’s final rule — HUD Office of Hearings and Appeals [Docket No.: FR-6285-F-01] received February 22, 2022, pursuant to 5 U.S.C. 801(a)(1)(A); Public Law 104-121, Sec. 251; (110 Stat. 868); to the Committee on Financial Services. EC–3611. A letter from the Director, Regulations Policy and Management Staff, Department of Health and Human Services, transmitting the Department’s final rule Tobacco Products; Required Warnings for Cigarette Packages and Advertisements; Delayed Effective Date [Docket No.: FDA-2019N-3065] (RIN: 0910-AI39) received March 7, 2022, pursuant to 5 U.S.C. 801(a)(1)(A); Public Law 104-121, Sec. 251; (110 Stat. 868); to the Committee on Energy and Commerce. EC–3612. A letter from the Acting Director, Regulatory Management Division, Environmental Protection Agency, transmitting the Agency’s final rule — National Emission Standards for Hazardous Air Pollutants: Stationary Combustion Turbines; Amendments

(RIN: 2060-AV03) received March 7, 2022, pursuant to 5 U.S.C. 801(a)(1)(A); Public Law 104121, Sec. 251; (110 Stat. 868); to the Committee on Energy and Commerce. EC–3613. A letter from the Associate Director, Regulatory Management Division, Environmental Protection Agency, transmitting the Agency’s final rule — Fluopyram; Pesticide Tolerances

FRL-9454-01-OCSPP] received February 22, 2022, pursuant to 5 U.S.C. 801(a)(1)(A); Public Law 104-121, Sec. 251; (110 Stat. 868); to the Committee on Energy and Commerce. EC–3614. A letter from the Associate Director, Regulatory Management Division, Environmental Protection Agency, transmitting the Agency’s final rule — Air Plan Approval; AK; Removal of Excess Emissions Provision [EPA-R10-OAR-2017-0031; FRL-9177-02-R10] received February 22, 2022, pursuant to 5 U.S.C. 801(a)(1)(A); Public Law 104-121, Sec. 251; (110 Stat. 868); to the Committee on Energy and Commerce. EC–3615. A letter from the Associate Director, Regulatory Management Division, Environmental Protection Agency, transmitting the Agency’s final rule — Approval and Promulgation of Implementation Plans; Georgia: Approval of Revisions to State Implementation Plan; Correction [EPA-R04-OAR-",ESA reform proposal,Discussion on the need to reform the Endangered Species Act to alleviate burdensome permitting processes.,Congressional debate on permitting processes and environmental regulations,"Congressional Western Caucus members [Hero]; far-left special interest groups and misguided environmentalists [Villain]; farmers, ranchers, landowners, and businesses [Victim]","The Congressional Western Caucus members argue that burdensome permitting processes, exacerbated by outdated laws like the ESA and NEPA, hinder economic development and infrastructure projects. They claim that these regulations, manipulated by special interest groups, harm local economies and delay critical projects, ultimately affecting farmers and ranchers.","The federal government must reform the permitting process to eliminate bureaucratic red tape and empower local economies, allowing farmers and ranchers to thrive and ensuring timely infrastructure development.",ESA Legislative Action
CREC-2022-03-24-pt1-PgE291,"Mr. NEGUSE. Madam Speaker, I rise today in support of H.R. 5001, the Upper Colorado and San Juan River Basins Recovery Act. This bipartisan bill would reauthorize and extend critical endangered fish recovery programs in the Upper Colorado and San Juan River Basins in Colorado, New Mexico, Utah, and Wyoming. The Upper Colorado River Endangered Fish Recovery Program was first established in the 1980s to help bring four species of endangered fish back from the brink of extinction, while continuing existing water development and ensuring compliance with the Endangered Species Act. The San Juan River Basin Recovery Implementation Program was established in 1992, and similarly works to protect these endangered fish in the San Juan River sub-basin, a part of the larger Upper Colorado River Basin. These programs are unique collaborative efforts between local, state and Tribal officials, federal agencies, water and power interests, and environmental groups—all working together to recover these endangered species, preserve ecosystems, and maintain water development. These four species of fish are only found in the Colorado River Basin—making the work of the recovery partners crucial to their recovery. Both programs work collaboratively for the recovery of these species, and have become models for their collaborative conservation efforts to protect endangered species. Last year, one of the endangered species in the Upper Colorado River Basin—the humpback chub—was moved from endangered to threatened status due to the many years of effort from this partnership. Another speciesthe razorback sucker—was also proposed for delisting last summer, resulting from the actions of the recovery programs and their partners over the past 30 years. My bill would reauthorize these critical programs through 2024 and extend current reporting deadlines for the Recovery Programs. Extending the program authorization an additional year allows federal partners to include funding for the programs in their three-year budgetary planning cycle, and does not raise the cost ceiling for the current programs. The bill also provides an extension of reporting requirements for the recovery programs—as requested by the program partners—to account for challenges and delays due to the COVID–19 pandemic. I am glad to have the support of several of my colleagues from these states as cosponsors on this effort, along with the support of local and state officials across the Upper Colorado River Basin. The technical amendments my bill makes are necessary to preserve the functioning of these successful programs, and ensure the programs are able to continue to operate smoothly for an additional year.",legislative amendment,Reauthorization and extension of endangered fish recovery programs.,legislative chamber debate,Mr. Neguse [Hero]; endangered fish species [Victim],"Mr. Neguse supports H.R. 5001 to reauthorize and extend endangered fish recovery programs, which have successfully helped species like the humpback chub and razorback sucker recover from the brink of extinction, ensuring continued collaboration among various stakeholders.","The endangered fish recovery programs are vital for the survival of these species, and Congress should reauthorize and extend these programs to ensure their continued success and support collaborative conservation efforts.",ESA Legislative Action
CREC-2022-03-24-pt1-PgH3862-2,"801(a)(1)(A); Public Law 104-121, Sec. 251; (110 Stat. 868); to the Committee on Energy and Commerce. EC–3683. A letter from the Associate Director, Regulatory Management Division, Environmental Protection Agency, transmitting the Agency’s final rule — Oregon: Authorization of State Hazardous Waste Management Program Revisions

0439; FRL-8853-02-R10] received March 9, 2022, pursuant to 5 U.S.C. 801(a)(1)(A); Public Law 104-121, Sec. 251; (110 Stat. 868); to the Committee on Energy and Commerce. EC–3684. A letter from the Associate Director, Regulatory Management Division, Environmental Protection Agency, transmitting the Agency’s final rule — Novaluron; Pesticide Tolerances

FRL-9565-01-OCSPP] received March 9, 2022, pursuant to 5 U.S.C. 801(a)(1)(A); Public Law 104-121, Sec. 251; (110 Stat. 868); to the Committee on Energy and Commerce. EC–3685. A letter from the Associate Director, Regulatory Management Division, Environmental Protection Agency, transmitting the Agency’s final rule — Air Plan Approval; New Hampshire; Conformity [EPA-R01-OAR2021-0945; FRL-9487-02-R1] received March 9, 2022, pursuant to 5 U.S.C. 801(a)(1)(A); Public Law 104-121, Sec. 251; (110 Stat. 868); to the Committee on Energy and Commerce.

H.R. 7195. A bill to provide for certain whistleblower incentives and protections; to the Committee on Financial Services.

H.R. 7197. A bill to amend the Endangered Species Act of 1973 to further restrict the Secretary of the Interior from designating certain lands used for national defense-related purposes as critical habitats for any species under that Act and to broaden exclusions and exemptions from that Act for such defense-related purposes; to the Committee on Natural Resources.

H.R. 7212. A bill to amend the William Wilberforce Trafficking Victims Protection Reauthorization Act of 2008 with respect to the release of unaccompanied alien children, and for other purposes; to the Committee on the Judiciary.

H.R. 7230. A bill to amend the Internal Revenue Code of 1986 to expand affordability of health insurance for working families; to the Committee on Ways and Means. By Mr. CLOUD: H.J. Res. 79. A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Department of the Treasury and the Centers for Medicare & Medicaid Services relating to ‘‘Patient Protection and Affordable Care Act; Updating Payment Parameters, Section 1332 Waiver Implementing Regulations, and Improving Health Insurance Markets for 2022 and Beyond’’; to the Committee on Energy and Commerce, and in addition to the Committee on Ways and Means, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.

Congress has the power to enact this legislation pursuant to the following: To regulate Commerce with foreign Nations, and among the several States, and with the Indian Tribes; To establish an uniform Rule of Naturalization, and uniform Laws on the subject of Bankruptcies throughout the United States; To coin Money, regulate the Value thereof, and of foreign Coin, and fix the Standard of Weights and Measures; To provide for the Punishment of counterfeiting the Securities and current Coin of the United States; To establish Post Offices and Post Roads; To promote the Progress of Science and useful Arts, by securing for limited Times to Authors and Inventors the exclusive Right to their respective Writings and Discoveries; To constitute Tribunals inferior to the supreme Court; To define and punish Piracies and Felonies committed on the high Seas, and Offenses against the Law of Nations; To declare War, grant Letters of Marque and Reprisal, and make Rules concerning Captures on Land and Water; To raise and support Armies, but no Appropriation of Money to that Use shall be for a longer Term than two Years; To provide and maintain a Navy; To make Rules for the Government and Regulation of the land and naval Forces; To provide for calling forth the Militia to execute the Laws of the Union, suppress Insurrections and repel Invasions;",ESA amendment,A bill to amend the Endangered Species Act of 1973 to restrict land designation for national defense purposes.,legislative chamber or committee debate,Secretary of the Interior [Villain]; endangered species [Victim],"The Secretary of the Interior is attempting to amend the Endangered Species Act to restrict land designation for national defense purposes, which threatens the critical habitats of endangered species.",The proposed amendment undermines protections for endangered species — Congress should reject this bill to ensure the conservation of critical habitats.,ESA Legislative Action
