month_t,news_lag1,cong_lag1,news_t,cong_t
2022-02-01,5,0,9,0
2022-03-01,9,0,6,1
2022-04-01,6,1,14,0
2022-05-01,14,0,5,1
2022-06-01,5,1,8,1
2022-07-01,8,1,27,2
2022-08-01,27,2,14,0
2022-09-01,14,0,7,0
2022-10-01,7,0,17,0
2022-11-01,17,0,7,0
2022-12-01,7,0,6,5
2023-01-01,6,5,9,1
2023-02-01,9,1,5,3
2023-03-01,5,3,15,1
2023-04-01,15,1,5,1
2023-05-01,5,1,16,1
2023-06-01,16,1,2,0
2023-07-01,2,0,6,3
2023-08-01,6,3,15,0
2023-09-01,15,0,3,1
2023-10-01,3,1,18,0
2023-11-01,18,0,8,0
2023-12-01,8,0,12,1
2024-01-01,12,1,4,0
2024-02-01,4,0,10,1
2024-03-01,10,1,2,3
2024-04-01,2,3,5,3
2024-05-01,5,3,5,2
2024-06-01,5,2,8,2
2024-07-01,8,2,6,1
2024-08-01,6,1,6,2
2024-09-01,6,2,6,0
2024-10-01,6,0,4,0
2024-11-01,4,0,9,1
2024-12-01,9,1,11,2
2025-01-01,11,2,11,7
2025-03-01,11,7,9,1
2025-04-01,9,1,6,5
2025-05-01,6,5,3,4
2025-06-01,3,4,12,1
2025-07-01,12,1,6,0
2025-08-01,6,0,16,0
2025-09-01,16,0,8,1
2025-10-01,8,1,3,1
2025-11-01,3,1,2,0
2025-12-01,2,0,11,7
