month_t,journal,news_lag1,cong_lag1,news_t,cong_t
2022-02-01,NYT,1,0,4,0
2022-03-01,NYT,4,0,0,1
2022-04-01,NYT,0,1,5,0
2022-05-01,NYT,5,0,3,1
2022-06-01,NYT,3,1,5,1
2022-07-01,NYT,5,1,15,2
2022-08-01,NYT,15,2,4,0
2022-09-01,NYT,4,0,0,0
2022-10-01,NYT,0,0,9,0
2022-11-01,NYT,9,0,2,0
2022-12-01,NYT,2,0,0,5
2023-01-01,NYT,0,5,3,1
2023-02-01,NYT,3,1,3,3
2023-03-01,NYT,3,3,8,1
2023-04-01,NYT,8,1,0,1
2023-05-01,NYT,0,1,7,1
2023-06-01,NYT,7,1,0,0
2023-07-01,NYT,0,0,3,3
2023-08-01,NYT,3,3,8,0
2023-09-01,NYT,8,0,3,1
2023-10-01,NYT,3,1,13,0
2023-11-01,NYT,13,0,5,0
2023-12-01,NYT,5,0,5,1
2024-01-01,NYT,5,1,4,0
2024-02-01,NYT,4,0,10,1
2024-03-01,NYT,10,1,2,3
2024-04-01,NYT,2,3,2,3
2024-05-01,NYT,2,3,5,2
2024-06-01,NYT,5,2,7,2
2024-07-01,NYT,7,2,1,1
2024-08-01,NYT,1,1,4,2
2024-09-01,NYT,4,2,4,0
2024-10-01,NYT,4,0,2,0
2024-11-01,NYT,2,0,2,1
2024-12-01,NYT,2,1,5,2
2025-01-01,NYT,5,2,5,7
2025-02-01,NYT,5,7,0,0
2025-03-01,NYT,0,0,0,1
2025-04-01,NYT,0,1,2,5
2025-05-01,NYT,2,5,1,4
2025-06-01,NYT,1,4,7,1
2025-07-01,NYT,7,1,4,0
2025-08-01,NYT,4,0,8,0
2025-09-01,NYT,8,0,7,1
2025-10-01,NYT,7,1,2,1
2025-11-01,NYT,2,1,1,0
2025-12-01,NYT,1,0,6,7
2022-02-01,WP,4,0,5,0
2022-03-01,WP,5,0,5,1
2022-04-01,WP,5,1,7,0
2022-05-01,WP,7,0,2,1
2022-06-01,WP,2,1,1,1
2022-07-01,WP,1,1,7,2
2022-08-01,WP,7,2,10,0
2022-09-01,WP,10,0,7,0
2022-10-01,WP,7,0,5,0
2022-11-01,WP,5,0,5,0
2022-12-01,WP,5,0,4,5
2023-01-01,WP,4,5,3,1
2023-02-01,WP,3,1,2,3
2023-03-01,WP,2,3,7,1
2023-04-01,WP,7,1,3,1
2023-05-01,WP,3,1,5,1
2023-06-01,WP,5,1,2,0
2023-07-01,WP,2,0,3,3
2023-08-01,WP,3,3,5,0
2023-09-01,WP,5,0,0,1
2023-10-01,WP,0,1,5,0
2023-11-01,WP,5,0,3,0
2023-12-01,WP,3,0,5,1
2024-01-01,WP,5,1,0,0
2024-02-01,WP,0,0,0,1
2024-03-01,WP,0,1,0,3
2024-04-01,WP,0,3,2,3
2024-05-01,WP,2,3,0,2
2024-06-01,WP,0,2,0,2
2024-07-01,WP,0,2,5,1
2024-08-01,WP,5,1,0,2
2024-09-01,WP,0,2,2,0
2024-10-01,WP,2,0,2,0
2024-11-01,WP,2,0,6,1
2024-12-01,WP,6,1,6,2
2025-01-01,WP,6,2,4,7
2025-02-01,WP,4,7,0,0
2025-03-01,WP,0,0,9,1
2025-04-01,WP,9,1,4,5
2025-05-01,WP,4,5,2,4
2025-06-01,WP,2,4,5,1
2025-07-01,WP,5,1,2,0
2025-08-01,WP,2,0,8,0
2025-09-01,WP,8,0,1,1
2025-10-01,WP,1,1,1,1
2025-11-01,WP,1,1,1,0
2025-12-01,WP,1,0,5,7
2022-02-01,WSJ,0,0,0,0
2022-03-01,WSJ,0,0,1,1
2022-04-01,WSJ,1,1,2,0
2022-05-01,WSJ,2,0,0,1
2022-06-01,WSJ,0,1,2,1
2022-07-01,WSJ,2,1,5,2
2022-08-01,WSJ,5,2,0,0
2022-09-01,WSJ,0,0,0,0
2022-10-01,WSJ,0,0,3,0
2022-11-01,WSJ,3,0,0,0
2022-12-01,WSJ,0,0,2,5
2023-01-01,WSJ,2,5,3,1
2023-02-01,WSJ,3,1,0,3
2023-03-01,WSJ,0,3,0,1
2023-04-01,WSJ,0,1,2,1
2023-05-01,WSJ,2,1,4,1
2023-06-01,WSJ,4,1,0,0
2023-07-01,WSJ,0,0,0,3
2023-08-01,WSJ,0,3,2,0
2023-09-01,WSJ,2,0,0,1
2023-10-01,WSJ,0,1,0,0
2023-11-01,WSJ,0,0,0,0
2023-12-01,WSJ,0,0,2,1
2024-01-01,WSJ,2,1,0,0
2024-02-01,WSJ,0,0,0,1
2024-03-01,WSJ,0,1,0,3
2024-04-01,WSJ,0,3,1,3
2024-05-01,WSJ,1,3,0,2
2024-06-01,WSJ,0,2,1,2
2024-07-01,WSJ,1,2,0,1
2024-08-01,WSJ,0,1,2,2
2024-09-01,WSJ,2,2,0,0
2024-10-01,WSJ,0,0,0,0
2024-11-01,WSJ,0,0,1,1
2024-12-01,WSJ,1,1,0,2
2025-01-01,WSJ,0,2,2,7
2025-02-01,WSJ,2,7,0,0
2025-03-01,WSJ,0,0,0,1
2025-04-01,WSJ,0,1,0,5
2025-05-01,WSJ,0,5,0,4
2025-06-01,WSJ,0,4,0,1
2025-07-01,WSJ,0,1,0,0
2025-08-01,WSJ,0,0,0,0
2025-09-01,WSJ,0,0,0,1
2025-10-01,WSJ,0,1,0,1
2025-11-01,WSJ,0,1,0,0
2025-12-01,WSJ,0,0,0,7
