month_t,news_lag2,cong_lag2,news_t,cong_t
2022-03-01,5,0,6,1
2022-04-01,9,0,14,0
2022-05-01,6,1,5,1
2022-06-01,14,0,8,1
2022-07-01,5,1,27,2
2022-08-01,8,1,14,0
2022-09-01,27,2,7,0
2022-10-01,14,0,17,0
2022-11-01,7,0,7,0
2022-12-01,17,0,6,5
2023-01-01,7,0,9,1
2023-02-01,6,5,5,3
2023-03-01,9,1,15,1
2023-04-01,5,3,5,1
2023-05-01,15,1,16,1
2023-06-01,5,1,2,0
2023-07-01,16,1,6,3
2023-08-01,2,0,15,0
2023-09-01,6,3,3,1
2023-10-01,15,0,18,0
2023-11-01,3,1,8,0
2023-12-01,18,0,12,1
2024-01-01,8,0,4,0
2024-02-01,12,1,10,1
2024-03-01,4,0,2,3
2024-04-01,10,1,5,3
2024-05-01,2,3,5,2
2024-06-01,5,3,8,2
2024-07-01,5,2,6,1
2024-08-01,8,2,6,2
2024-09-01,6,1,6,0
2024-10-01,6,2,4,0
2024-11-01,6,0,9,1
2024-12-01,4,0,11,2
2025-01-01,9,1,11,7
2025-03-01,11,2,9,1
2025-04-01,11,7,6,5
2025-05-01,9,1,3,4
2025-06-01,6,5,12,1
2025-07-01,3,4,6,0
2025-08-01,12,1,16,0
2025-09-01,6,0,8,1
2025-10-01,16,0,3,1
2025-11-01,8,1,2,0
2025-12-01,3,1,11,7
