week_start,week_end,news_lag2w,cong_lag2w,news_t,cong_t
2022-01-13,2022-01-26,2,0,5,0
2022-01-14,2022-01-27,1,0,5,0
2022-01-17,2022-01-30,1,0,5,0
2022-01-18,2022-01-31,1,0,9,0
2022-02-03,2022-02-16,1,0,9,0
2022-02-10,2022-02-23,1,0,9,0
2022-02-11,2022-02-24,4,0,9,0
2022-02-17,2022-03-02,1,0,6,1
2022-02-28,2022-03-13,2,0,6,1
2022-03-01,2022-03-14,1,0,6,1
2022-03-04,2022-03-17,1,0,6,1
2022-03-06,2022-03-19,1,0,6,1
2022-03-08,2022-03-21,1,0,6,1
2022-03-09,2022-03-22,0,1,6,1
2022-03-22,2022-04-04,1,0,14,0
2022-03-25,2022-04-07,1,0,14,0
2022-04-03,2022-04-16,1,0,14,0
2022-04-04,2022-04-17,2,0,14,0
2022-04-05,2022-04-18,2,0,14,0
2022-04-14,2022-04-27,2,0,14,0
2022-04-15,2022-04-28,1,0,14,0
2022-04-22,2022-05-05,3,0,5,1
2022-04-24,2022-05-07,1,0,5,1
2022-04-27,2022-05-10,1,0,5,1
2022-04-28,2022-05-11,1,0,5,1
2022-05-01,2022-05-14,1,0,5,1
2022-05-02,2022-05-15,1,0,5,1
2022-05-13,2022-05-26,0,1,5,1
2022-05-19,2022-06-01,1,0,8,1
2022-05-25,2022-06-07,1,0,8,1
2022-05-29,2022-06-11,1,0,8,1
2022-06-07,2022-06-20,0,1,8,1
2022-06-08,2022-06-21,1,0,8,1
2022-06-10,2022-06-23,1,0,8,1
2022-06-11,2022-06-24,1,0,8,1
2022-06-13,2022-06-26,1,0,8,1
2022-06-14,2022-06-27,1,0,8,1
2022-06-16,2022-06-29,1,0,8,1
2022-06-17,2022-06-30,2,0,27,2
2022-07-03,2022-07-16,1,0,27,2
2022-07-05,2022-07-18,2,0,27,2
2022-07-09,2022-07-22,2,0,27,2
2022-07-12,2022-07-25,1,0,27,2
2022-07-19,2022-08-01,2,0,14,0
2022-07-21,2022-08-03,6,0,14,0
2022-07-22,2022-08-04,9,0,14,0
2022-07-23,2022-08-05,1,0,14,0
2022-07-24,2022-08-06,1,0,14,0
2022-07-25,2022-08-07,1,0,14,0
2022-07-26,2022-08-08,1,1,14,0
2022-07-29,2022-08-11,0,1,14,0
2022-08-01,2022-08-14,1,0,14,0
2022-08-06,2022-08-19,1,0,14,0
2022-08-10,2022-08-23,1,0,14,0
2022-08-16,2022-08-29,3,0,14,0
2022-08-18,2022-08-31,2,0,7,0
2022-08-22,2022-09-04,1,0,7,0
2022-08-23,2022-09-05,1,0,7,0
2022-08-24,2022-09-06,2,0,7,0
2022-08-28,2022-09-10,2,0,7,0
2022-09-13,2022-09-26,1,0,7,0
2022-09-14,2022-09-27,1,0,7,0
2022-09-19,2022-10-02,2,0,17,0
2022-09-24,2022-10-07,1,0,17,0
2022-09-25,2022-10-08,1,0,17,0
2022-09-30,2022-10-13,1,0,17,0
2022-10-01,2022-10-14,1,0,17,0
2022-10-05,2022-10-18,1,0,17,0
2022-10-12,2022-10-25,1,0,17,0
2022-10-13,2022-10-26,1,0,17,0
2022-10-18,2022-10-31,1,0,7,0
2022-10-25,2022-11-07,5,0,7,0
2022-10-26,2022-11-08,6,0,7,0
2022-10-28,2022-11-10,1,0,7,0
2022-11-05,2022-11-18,1,0,7,0
2022-11-07,2022-11-20,1,0,7,0
2022-11-08,2022-11-21,1,0,7,0
2022-11-11,2022-11-24,1,0,7,0
2022-11-17,2022-11-30,1,0,6,5
2022-11-21,2022-12-04,1,0,6,5
2022-11-26,2022-12-09,1,0,6,5
2022-12-01,2022-12-14,0,1,6,5
2022-12-05,2022-12-18,1,0,6,5
2022-12-13,2022-12-26,0,1,6,5
2022-12-14,2022-12-27,1,0,6,5
2022-12-19,2023-01-01,1,0,9,1
2022-12-20,2023-01-02,0,1,9,1
2022-12-21,2023-01-03,1,1,9,1
2022-12-25,2023-01-07,1,0,9,1
2022-12-27,2023-01-09,1,0,9,1
2022-12-30,2023-01-12,0,1,9,1
2023-01-07,2023-01-20,2,0,9,1
2023-01-09,2023-01-22,0,1,9,1
2023-01-10,2023-01-23,1,0,9,1
2023-01-17,2023-01-30,1,0,9,1
2023-01-18,2023-01-31,1,0,5,3
2023-01-22,2023-02-04,1,0,5,3
2023-01-26,2023-02-08,3,0,5,3
2023-02-02,2023-02-15,0,1,5,3
2023-02-03,2023-02-16,1,0,5,3
2023-02-07,2023-02-20,0,1,5,3
2023-02-08,2023-02-21,1,0,5,3
2023-02-14,2023-02-27,1,0,5,3
2023-02-15,2023-02-28,1,0,15,1
2023-02-21,2023-03-06,1,1,15,1
2023-03-04,2023-03-17,1,0,15,1
2023-03-07,2023-03-20,2,1,15,1
2023-03-08,2023-03-21,2,0,15,1
2023-03-15,2023-03-28,2,0,15,1
2023-03-16,2023-03-29,1,0,15,1
2023-03-17,2023-03-30,3,0,15,1
2023-03-20,2023-04-02,1,0,5,1
2023-03-27,2023-04-09,1,0,5,1
2023-03-29,2023-04-11,1,0,5,1
2023-03-30,2023-04-12,1,0,5,1
2023-04-03,2023-04-16,1,0,5,1
2023-04-04,2023-04-17,1,0,5,1
2023-04-05,2023-04-18,1,0,5,1
2023-04-09,2023-04-22,1,0,5,1
2023-04-10,2023-04-23,1,0,5,1
2023-04-13,2023-04-26,0,1,5,1
2023-05-01,2023-05-14,1,0,16,1
2023-05-03,2023-05-16,1,0,16,1
2023-05-04,2023-05-17,2,0,16,1
2023-05-05,2023-05-18,1,0,16,1
2023-05-08,2023-05-21,2,0,16,1
2023-05-09,2023-05-22,2,0,16,1
2023-05-10,2023-05-23,0,1,16,1
2023-05-16,2023-05-29,1,0,16,1
2023-05-18,2023-05-31,1,0,2,0
2023-05-19,2023-06-01,1,0,2,0
2023-05-22,2023-06-04,1,0,2,0
2023-05-23,2023-06-05,1,0,2,0
2023-05-24,2023-06-06,1,0,2,0
2023-05-30,2023-06-12,1,0,2,0
2023-06-09,2023-06-22,1,0,2,0
2023-06-30,2023-07-13,1,0,6,3
2023-07-06,2023-07-19,1,0,6,3
2023-07-07,2023-07-20,1,0,6,3
2023-07-10,2023-07-23,1,0,6,3
2023-07-24,2023-08-06,1,0,15,0
2023-07-25,2023-08-07,1,0,15,0
2023-07-26,2023-08-08,0,1,15,0
2023-07-27,2023-08-09,0,2,15,0
2023-07-28,2023-08-10,1,0,15,0
2023-08-01,2023-08-14,1,0,15,0
2023-08-02,2023-08-15,1,0,15,0
2023-08-04,2023-08-17,2,0,15,0
2023-08-08,2023-08-21,1,0,15,0
2023-08-09,2023-08-22,1,0,15,0
2023-08-14,2023-08-27,2,0,15,0
2023-08-22,2023-09-04,1,0,3,1
2023-08-24,2023-09-06,2,0,3,1
2023-08-25,2023-09-07,3,0,3,1
2023-08-27,2023-09-09,1,0,3,1
2023-09-12,2023-09-25,3,0,3,1
2023-09-20,2023-10-03,0,1,18,0
2023-10-02,2023-10-15,2,0,18,0
2023-10-09,2023-10-22,1,0,18,0
2023-10-10,2023-10-23,1,0,18,0
2023-10-12,2023-10-25,1,0,18,0
2023-10-14,2023-10-27,1,0,18,0
2023-10-15,2023-10-28,2,0,18,0
2023-10-16,2023-10-29,2,0,18,0
2023-10-17,2023-10-30,5,0,18,0
2023-10-19,2023-11-01,1,0,8,0
2023-10-21,2023-11-03,1,0,8,0
2023-10-25,2023-11-07,1,0,8,0
2023-11-07,2023-11-20,1,0,8,0
2023-11-29,2023-12-12,5,0,12,1
2023-11-30,2023-12-13,2,0,12,1
2023-12-01,2023-12-14,1,0,12,1
2023-12-02,2023-12-15,1,0,12,1
2023-12-03,2023-12-16,1,0,12,1
2023-12-04,2023-12-17,2,0,12,1
2023-12-05,2023-12-18,1,0,12,1
2023-12-06,2023-12-19,1,0,12,1
2023-12-12,2023-12-25,3,1,12,1
2023-12-27,2024-01-09,1,0,4,0
2023-12-28,2024-01-10,1,0,4,0
2024-01-03,2024-01-16,1,0,4,0
2024-01-08,2024-01-21,1,0,4,0
2024-01-09,2024-01-22,1,0,4,0
2024-01-13,2024-01-26,1,0,4,0
2024-02-02,2024-02-15,2,0,10,1
2024-02-07,2024-02-20,1,1,10,1
2024-02-10,2024-02-23,1,0,10,1
2024-02-15,2024-02-28,1,0,10,1
2024-02-19,2024-03-03,1,0,2,3
2024-02-20,2024-03-04,1,0,2,3
2024-02-22,2024-03-06,2,0,2,3
2024-02-23,2024-03-07,1,0,2,3
2024-03-14,2024-03-27,1,0,2,3
2024-03-15,2024-03-28,1,1,2,3
2024-03-26,2024-04-08,0,2,5,3
2024-04-01,2024-04-14,1,0,5,3
2024-04-03,2024-04-16,1,0,5,3
2024-04-04,2024-04-17,1,0,5,3
2024-04-05,2024-04-18,1,0,5,3
2024-04-29,2024-05-12,1,1,5,2
2024-04-30,2024-05-13,0,2,5,2
2024-05-06,2024-05-19,0,1,5,2
2024-05-09,2024-05-22,1,0,5,2
2024-05-10,2024-05-23,1,1,5,2
2024-05-12,2024-05-25,1,0,5,2
2024-05-15,2024-05-28,1,0,5,2
2024-05-21,2024-06-03,1,0,8,2
2024-06-11,2024-06-24,3,0,8,2
2024-06-13,2024-06-26,1,0,8,2
