row,month_t,news_lag,cong_lag,news_t,cong_t
1,1995-02,0,0,1,0
2,1995-03,1,0,0,0
3,1995-04,0,0,0,0
4,1995-05,0,0,0,1
5,1995-06,0,1,0,0
6,1995-07,0,0,1,0
7,1995-08,1,0,1,0
8,1995-09,1,0,0,0
9,1995-10,0,0,0,0
10,1995-11,0,0,0,0
11,1995-12,0,0,0,0
12,1996-01,0,0,0,0
13,1996-02,0,0,0,0
14,1996-03,0,0,0,0
15,1996-04,0,0,0,0
16,1996-05,0,0,0,0
17,1996-06,0,0,0,0
18,1996-07,0,0,1,0
19,1996-08,1,0,0,0
20,1996-09,0,0,0,0
21,1996-10,0,0,0,0
22,1996-11,0,0,0,0
23,1996-12,0,0,0,0
24,1997-01,0,0,0,0
25,1997-02,0,0,0,0
26,1997-03,0,0,0,0
27,1997-04,0,0,0,0
28,1997-05,0,0,0,0
29,1997-06,0,0,0,0
30,1997-07,0,0,0,0
31,1997-08,0,0,0,0
32,1997-09,0,0,0,0
33,1997-10,0,0,0,0
34,1997-11,0,0,0,0
35,1997-12,0,0,0,0
36,1998-01,0,0,0,0
37,1998-02,0,0,1,0
38,1998-03,1,0,0,0
39,1998-04,0,0,0,1
40,1998-05,0,1,1,0
41,1998-06,1,0,1,0
42,1998-07,1,0,0,0
43,1998-08,0,0,0,0
44,1998-09,0,0,1,0
45,1998-10,1,0,0,0
46,1998-11,0,0,0,0
47,1998-12,0,0,1,0
48,1999-01,1,0,0,0
49,1999-02,0,0,0,0
50,1999-03,0,0,3,0
51,1999-04,3,0,0,1
52,1999-05,0,1,0,0
53,1999-06,0,0,2,1
54,1999-07,2,1,0,1
55,1999-08,0,1,1,0
56,1999-09,1,0,0,0
57,1999-10,0,0,0,0
58,1999-11,0,0,0,0
59,1999-12,0,0,0,0
60,2000-01,0,0,0,0
61,2000-02,0,0,0,0
62,2000-03,0,0,1,0
63,2000-04,1,0,0,0
64,2000-05,0,0,0,0
65,2000-06,0,0,0,0
66,2000-07,0,0,0,0
67,2000-08,0,0,0,0
68,2000-09,0,0,0,0
69,2000-10,0,0,0,0
70,2000-11,0,0,0,0
71,2000-12,0,0,0,0
72,2001-01,0,0,0,0
73,2001-02,0,0,0,0
74,2001-03,0,0,0,0
75,2001-04,0,0,0,0
76,2001-05,0,0,0,0
77,2001-06,0,0,0,0
78,2001-07,0,0,0,0
79,2001-08,0,0,0,0
