month_t,cong_lag2,news_lag2,news_t,cong_t
2015-03-01,1,1,0,1
2015-04-01,2,1,2,1
2015-05-01,1,0,0,2
2015-06-01,1,2,1,3
2015-07-01,2,0,3,6
2015-08-01,3,1,1,0
2015-09-01,6,3,2,0
2015-10-01,0,1,0,1
2015-11-01,0,2,0,1
2016-04-01,1,0,1,1
2016-05-01,1,0,1,0
2016-06-01,1,1,1,0
2016-07-01,0,1,0,1
2016-08-01,0,1,2,0
2016-09-01,1,0,0,1
2017-01-01,0,2,2,0
2017-02-01,1,0,1,0
2017-03-01,0,2,2,0
2017-04-01,0,1,1,0
2017-05-01,0,2,1,2
2017-06-01,0,1,1,0
2017-07-01,2,1,0,1
2017-09-01,0,1,0,1
2017-10-01,1,0,1,1
2017-11-01,1,0,0,1
2018-03-01,1,1,0,2
2018-07-01,1,0,2,0
2018-08-01,2,0,0,1
2018-09-01,0,2,0,1
2018-11-01,1,0,0,4
2019-03-01,1,0,1,1
2019-05-01,4,0,0,1
2019-10-01,1,1,0,1
2020-06-01,1,0,0,1
2020-09-01,1,0,0,1
2021-01-01,1,0,0,1
2021-05-01,1,0,1,1
2021-06-01,1,0,1,0
2021-07-01,1,1,1,0
2021-08-01,0,1,0,1
2021-09-01,0,1,2,0
2021-10-01,1,0,1,1
2022-02-01,0,2,1,0
2022-03-01,1,1,0,1
2022-06-01,0,1,1,1
2022-07-01,1,0,1,1
2022-10-01,1,1,1,0
2022-12-01,1,1,0,2
2023-02-01,0,1,0,1
2023-05-01,2,0,0,1
2023-07-01,1,0,0,1
2023-09-01,1,0,0,1
2023-12-01,1,0,2,1
2024-02-01,1,0,0,1
2024-03-01,1,2,0,1
2024-04-01,1,0,0,1
2024-05-01,1,0,0,2
2024-06-01,1,0,0,1
2024-07-01,2,0,0,1
2024-08-01,1,0,0,1
2024-11-01,1,0,1,1
2024-12-01,1,0,0,2
2025-01-01,1,1,0,5
2025-04-01,2,0,0,3
2025-05-01,5,0,0,2
2025-06-01,3,0,0,1
2025-12-01,2,0,0,4
