week_start,week_end,cong_lag2w,news_lag2w,news_t,cong_t
2015-01-06,2015-01-19,0,1,1,1
2015-01-30,2015-02-12,1,0,1,2
2015-02-02,2015-02-15,2,0,1,2
2015-02-21,2015-03-06,0,1,0,1
2015-03-17,2015-03-30,1,0,0,1
2015-04-22,2015-05-05,0,1,0,2
2015-04-23,2015-05-06,1,0,0,2
2015-04-26,2015-05-09,0,1,0,2
2015-05-14,2015-05-27,1,0,0,2
2015-05-26,2015-06-08,1,0,1,3
2015-06-10,2015-06-23,1,0,1,3
2015-06-22,2015-07-05,0,1,3,6
2015-06-23,2015-07-06,1,0,3,6
2015-06-24,2015-07-07,1,0,3,6
2015-07-07,2015-07-20,6,0,3,6
2015-07-17,2015-07-30,0,1,3,6
2015-07-18,2015-07-31,0,1,1,0
2015-07-30,2015-08-12,0,1,1,0
2015-08-28,2015-09-10,0,1,2,0
2015-09-22,2015-10-05,0,1,0,1
2015-09-23,2015-10-06,0,1,0,1
2015-10-20,2015-11-02,1,0,0,1
2015-11-16,2015-11-29,1,0,0,1
2016-04-13,2016-04-26,0,1,1,1
2016-04-25,2016-05-08,1,0,1,0
2016-05-25,2016-06-07,0,1,1,0
2016-06-01,2016-06-14,0,1,1,0
2016-07-13,2016-07-26,1,0,0,1
2016-08-11,2016-08-24,0,2,2,0
2016-09-22,2016-10-05,1,0,0,0
2017-01-11,2017-01-24,0,2,2,0
2017-02-11,2017-02-24,0,1,1,0
2017-03-14,2017-03-27,0,1,2,0
2017-03-18,2017-03-31,0,1,1,0
2017-04-03,2017-04-16,0,1,1,0
2017-05-12,2017-05-25,0,1,1,2
2017-05-23,2017-06-05,2,0,1,0
2017-06-23,2017-07-06,0,1,0,1
2017-07-28,2017-08-10,1,0,0,0
2017-09-07,2017-09-20,1,0,0,1
2017-10-05,2017-10-18,1,0,1,1
2017-10-14,2017-10-27,0,1,1,1
2017-11-14,2017-11-27,1,0,0,1
2018-03-01,2018-03-14,1,0,0,2
2018-03-05,2018-03-18,1,0,0,2
2018-07-27,2018-08-09,0,1,0,1
2018-07-28,2018-08-10,0,1,0,1
2018-08-10,2018-08-23,1,0,0,1
2018-09-07,2018-09-20,1,0,0,1
2018-11-09,2018-11-22,1,0,0,4
2018-11-13,2018-11-26,1,0,0,4
2018-11-14,2018-11-27,1,0,0,4
2018-11-16,2018-11-29,1,0,0,4
2019-03-07,2019-03-20,0,1,1,1
2019-03-21,2019-04-03,1,0,0,0
2019-05-02,2019-05-15,1,0,0,1
2019-10-31,2019-11-13,1,0,0,0
2020-06-26,2020-07-09,1,0,0,0
2020-09-04,2020-09-17,1,0,0,1
2021-01-12,2021-01-25,1,0,0,1
2021-05-13,2021-05-26,1,0,1,1
2021-05-15,2021-05-28,0,1,1,1
2021-06-23,2021-07-06,0,1,1,0
2021-07-16,2021-07-29,0,1,1,0
2021-08-06,2021-08-19,1,0,0,1
2021-09-29,2021-10-12,0,1,1,1
2021-09-30,2021-10-13,0,1,1,1
2021-10-23,2021-11-05,0,1,0,0
2021-10-26,2021-11-08,1,0,0,0
2022-02-12,2022-02-25,0,1,1,0
2022-03-09,2022-03-22,1,0,0,1
2022-06-07,2022-06-20,1,0,1,1
2022-06-11,2022-06-24,0,1,1,1
2022-07-22,2022-08-04,0,1,0,0
2022-07-29,2022-08-11,1,0,0,0
2022-10-26,2022-11-08,0,1,0,0
2022-12-20,2023-01-02,1,0,0,0
2022-12-21,2023-01-03,1,0,0,0
2023-02-21,2023-03-06,1,0,0,0
2023-05-10,2023-05-23,1,0,0,1
2023-07-27,2023-08-09,1,0,0,0
2023-09-20,2023-10-03,1,0,0,0
2023-12-12,2023-12-25,1,0,2,1
2023-12-27,2024-01-09,0,1,0,0
2023-12-28,2024-01-10,0,1,0,0
2024-02-07,2024-02-20,1,0,0,1
2024-03-15,2024-03-28,1,0,0,1
2024-04-30,2024-05-13,1,0,0,2
2024-05-06,2024-05-19,1,0,0,2
2024-05-10,2024-05-23,1,0,0,2
2024-06-26,2024-07-09,1,0,0,1
2024-07-23,2024-08-05,1,0,0,1
2024-08-09,2024-08-22,1,0,0,1
2024-11-01,2024-11-14,0,1,1,1
2024-11-12,2024-11-25,1,0,1,1
2024-12-16,2024-12-29,1,0,0,2
2024-12-18,2024-12-31,1,0,0,5
2025-01-03,2025-01-16,3,0,0,5
2025-01-15,2025-01-28,1,0,0,5
2025-01-21,2025-02-03,1,0,0,0
2025-04-02,2025-04-15,1,0,0,3
2025-04-29,2025-05-12,1,0,0,2
2025-04-30,2025-05-13,1,0,0,2
2025-05-01,2025-05-14,2,0,0,2
2025-06-30,2025-07-13,1,0,0,0
2025-12-10,2025-12-23,1,0,0,4
2025-12-11,2025-12-24,1,0,0,4
2025-12-16,2025-12-29,1,0,0,4
2025-12-18,2025-12-31,1,0,0,0
