week_start,week_end,month_t,journal,news_lag2w,cong_lag2w,news_t,cong_t
2022-01-18,2022-01-31,2022-02-01,NYT,1,0,4,0
2022-02-11,2022-02-24,2022-02-01,NYT,2,0,4,0
2022-02-28,2022-03-13,2022-03-01,NYT,2,0,0,1
2022-04-05,2022-04-18,2022-04-01,NYT,1,0,5,0
2022-04-14,2022-04-27,2022-04-01,NYT,2,0,5,0
2022-04-15,2022-04-28,2022-04-01,NYT,1,0,5,0
2022-04-28,2022-05-11,2022-05-01,NYT,1,0,3,1
2022-05-19,2022-06-01,2022-06-01,NYT,1,0,5,1
2022-05-25,2022-06-07,2022-06-01,NYT,1,0,5,1
2022-05-29,2022-06-11,2022-06-01,NYT,1,0,5,1
2022-06-10,2022-06-23,2022-06-01,NYT,1,0,5,1
2022-06-13,2022-06-26,2022-06-01,NYT,1,0,5,1
2022-06-14,2022-06-27,2022-06-01,NYT,1,0,5,1
2022-06-16,2022-06-29,2022-06-01,NYT,1,0,5,1
2022-06-17,2022-06-30,2022-07-01,NYT,1,0,15,2
2022-07-09,2022-07-22,2022-07-01,NYT,2,0,15,2
2022-07-12,2022-07-25,2022-07-01,NYT,1,0,15,2
2022-07-19,2022-08-01,2022-08-01,NYT,1,0,4,0
2022-07-21,2022-08-03,2022-08-01,NYT,5,0,4,0
2022-07-22,2022-08-04,2022-08-01,NYT,5,0,4,0
2022-07-26,2022-08-08,2022-08-01,NYT,1,1,4,0
2022-08-16,2022-08-29,2022-08-01,NYT,3,0,4,0
2022-08-28,2022-09-10,2022-09-01,NYT,1,0,0,0
2022-10-05,2022-10-18,2022-10-01,NYT,1,0,9,0
2022-10-12,2022-10-25,2022-10-01,NYT,1,0,9,0
2022-10-18,2022-10-31,2022-11-01,NYT,1,0,2,0
2022-10-25,2022-11-07,2022-11-01,NYT,3,0,2,0
2022-10-26,2022-11-08,2022-11-01,NYT,3,0,2,0
2022-11-17,2022-11-30,2022-12-01,NYT,1,0,0,5
2022-11-21,2022-12-04,2022-12-01,NYT,1,0,0,5
2023-01-18,2023-01-31,2023-02-01,NYT,1,0,3,3
2023-01-26,2023-02-08,2023-02-01,NYT,2,0,3,3
2023-02-03,2023-02-16,2023-02-01,NYT,1,0,3,3
2023-02-08,2023-02-21,2023-02-01,NYT,1,0,3,3
2023-02-21,2023-03-06,2023-03-01,NYT,1,1,8,1
2023-03-08,2023-03-21,2023-03-01,NYT,2,0,8,1
2023-03-15,2023-03-28,2023-03-01,NYT,1,0,8,1
2023-03-16,2023-03-29,2023-03-01,NYT,1,0,8,1
2023-03-17,2023-03-30,2023-03-01,NYT,2,0,8,1
2023-03-29,2023-04-11,2023-04-01,NYT,1,0,0,1
2023-03-30,2023-04-12,2023-04-01,NYT,1,0,0,1
2023-05-08,2023-05-21,2023-05-01,NYT,1,0,7,1
2023-05-09,2023-05-22,2023-05-01,NYT,1,0,7,1
2023-05-18,2023-05-31,2023-06-01,NYT,1,0,0,0
2023-05-19,2023-06-01,2023-06-01,NYT,1,0,0,0
2023-05-22,2023-06-04,2023-06-01,NYT,1,0,0,0
2023-05-23,2023-06-05,2023-06-01,NYT,1,0,0,0
2023-05-24,2023-06-06,2023-06-01,NYT,1,0,0,0
2023-07-07,2023-07-20,2023-07-01,NYT,1,0,3,3
2023-07-10,2023-07-23,2023-07-01,NYT,1,0,3,3
2023-07-24,2023-08-06,2023-08-01,NYT,1,0,8,0
2023-08-02,2023-08-15,2023-08-01,NYT,1,0,8,0
2023-08-04,2023-08-17,2023-08-01,NYT,2,0,8,0
2023-08-08,2023-08-21,2023-08-01,NYT,1,0,8,0
2023-08-14,2023-08-27,2023-08-01,NYT,2,0,8,0
2023-08-24,2023-09-06,2023-09-01,NYT,1,0,3,1
2023-08-25,2023-09-07,2023-09-01,NYT,1,0,3,1
2023-09-12,2023-09-25,2023-09-01,NYT,3,0,3,1
2023-10-02,2023-10-15,2023-10-01,NYT,1,0,13,0
2023-10-09,2023-10-22,2023-10-01,NYT,1,0,13,0
2023-10-10,2023-10-23,2023-10-01,NYT,1,0,13,0
2023-10-14,2023-10-27,2023-10-01,NYT,1,0,13,0
2023-10-15,2023-10-28,2023-10-01,NYT,2,0,13,0
2023-10-16,2023-10-29,2023-10-01,NYT,1,0,13,0
2023-10-17,2023-10-30,2023-10-01,NYT,4,0,13,0
2023-10-19,2023-11-01,2023-11-01,NYT,1,0,5,0
2023-10-21,2023-11-03,2023-11-01,NYT,1,0,5,0
2023-11-07,2023-11-20,2023-11-01,NYT,1,0,5,0
2023-11-29,2023-12-12,2023-12-01,NYT,4,0,5,1
2023-12-04,2023-12-17,2023-12-01,NYT,2,0,5,1
2023-12-05,2023-12-18,2023-12-01,NYT,1,0,5,1
2023-12-12,2023-12-25,2023-12-01,NYT,2,1,5,1
2024-01-03,2024-01-16,2024-01-01,NYT,1,0,4,0
2024-01-08,2024-01-21,2024-01-01,NYT,1,0,4,0
2024-01-09,2024-01-22,2024-01-01,NYT,1,0,4,0
2024-01-13,2024-01-26,2024-01-01,NYT,1,0,4,0
2024-02-02,2024-02-15,2024-02-01,NYT,2,0,10,1
2024-02-07,2024-02-20,2024-02-01,NYT,1,1,10,1
2024-02-10,2024-02-23,2024-02-01,NYT,1,0,10,1
2024-02-15,2024-02-28,2024-02-01,NYT,1,0,10,1
2024-02-19,2024-03-03,2024-03-01,NYT,1,0,2,3
2024-02-20,2024-03-04,2024-03-01,NYT,1,0,2,3
2024-02-22,2024-03-06,2024-03-01,NYT,2,0,2,3
2024-02-23,2024-03-07,2024-03-01,NYT,1,0,2,3
2024-03-14,2024-03-27,2024-03-01,NYT,1,0,2,3
2024-03-15,2024-03-28,2024-03-01,NYT,1,1,2,3
2024-04-01,2024-04-14,2024-04-01,NYT,1,0,2,3
2024-04-29,2024-05-12,2024-05-01,NYT,1,1,5,2
2024-05-09,2024-05-22,2024-05-01,NYT,1,0,5,2
2024-05-10,2024-05-23,2024-05-01,NYT,1,1,5,2
2024-05-12,2024-05-25,2024-05-01,NYT,1,0,5,2
2024-05-15,2024-05-28,2024-05-01,NYT,1,0,5,2
2024-05-21,2024-06-03,2024-06-01,NYT,1,0,7,2
2024-06-11,2024-06-24,2024-06-01,NYT,3,0,7,2
2024-06-13,2024-06-26,2024-06-01,NYT,1,0,7,2
2024-06-15,2024-06-28,2024-06-01,NYT,1,0,7,2
2024-06-20,2024-07-03,2024-07-01,NYT,1,0,1,1
2024-06-23,2024-07-06,2024-07-01,NYT,1,0,1,1
2024-07-10,2024-07-23,2024-07-01,NYT,1,0,1,1
2024-08-12,2024-08-25,2024-08-01,NYT,2,0,4,2
2024-08-14,2024-08-27,2024-08-01,NYT,1,0,4,2
2024-08-31,2024-09-13,2024-09-01,NYT,1,0,4,0
2024-09-01,2024-09-14,2024-09-01,NYT,1,0,4,0
2024-09-05,2024-09-18,2024-09-01,NYT,2,0,4,0
2024-09-06,2024-09-19,2024-09-01,NYT,1,0,4,0
