,document_id,extract_number,extract_text
0,CREC-1996-06-19-pt2-PgD638,1,"million and reduces Forest Service funding accordingly. Pages H6588–89 The Kennedy of Massachusetts amendment that reduces Forest Service reconstruction and construction funding by $42 million (agreed to by a recorded vote of 211 ayes to 210 noes, Roll No. 258). Pages H6611–20, H6624–25 Rejected: The Farr amendment that sought to increase funding for land acquisition by $135 million and decrease fossil energy research and development funding accordingly (rejected by a recorded vote of 183 ayes to 235 noes, Roll No. 251); Pages H6550–57 The Walker amendment that sought to increase funding for the National Park Service by $62 million and the Bureau of Indian Affairs by $55 million and reduce fossil energy research and development funding accordingly (rejected by a recorded vote of 196 ayes to 224 noes, Roll No. 252); Pages H6562–66 The Richardson amendment that sought to increase funding for the Fish and Wildlife Service by $5 million and reduce fossil energy reeseach and development funding accordingly (rejected by a recorded vote of 200 ayes to 220 noes, Roll No. 254); Pages H6591–92 The Vento amendment that sought to increase funding for the National Park Service by $23.5 million and reduce Forest Service reconstruction and construction funding accordingly (rejected by a recorded vote of 178 ayes to 242 noes, Roll No. 255); Pages H6592–99, H6605–06 The Miller amendment that sought to increase National Recreation and Preservation funding by $10 million and reduce Fossil Energy Research and Development funding accordingly (rejected by a recorded vote of 199 ayes to 223 noes, Roll 256); Pages H6599–H6602, H6606–07 The Richardson amendment that sought to increase funding for the National Park Service by $15.5 million and reduce Forest Service Reconstruction and Construction funding accordingly (rejected by a recorded vote of 203 ayes to 218 noes, Roll No. 257); Pages H6602–04, H6607 Withdrawn: The Goss amendment was offered, but subsequently withdrawn that sought to increase funding for National Park Service land acquisition by $15 million and reduce Forest Service funding accordingly; Pages H6589–90 Points of order were sustained against the following: Language in the bill that sought to require binding agreements between Indian tribes, States, and local governments regarding taxes before any new Federal lands are transferred into tribal trust; and Page H6562 Language in the bill that sought to direct the Secretary of Energy to draw down $200 million in oil from the Strategic Petroleum Reserve. Page H6604 H. Res. 455, the rule providing for consideration of the bill, was agreed to earlier by a voice vote. Pages H6518–28 Order of Business: It was made in order that during further consideration of H.R. 3662 that the bill be considered as having been read; and no amendment shall be in order except for the following amendments, which shall be considered as read, shall not be subject to amendment or to a demand for a division of the question in the House or in the Committee of the Whole, and shall be debatable for the time specified, equally divided and controlled by the proponent and a Member opposed: Representative Sanders (regarding weatherization—20 minutes), Representative Fox (regarding weatherization—10 minutes), Representative Parker (regarding weatherization—10 minutes), Representative Faleomavaega (regarding the red squirrel—15 minutes), Representative Hoekstra (regarding NEA—10 minutes), Representative Shadegg (regarding NEH—30 minutes), Representative Klug or another Member (regarding timber contracts—10 minutes), Representative DeFazio (regarding timber sourcing—10 minutes), Representative Olver (regarding funding levels for codes and standards—10 minutes), Representative Condit (regarding Endangered Species Act—10 minutes), Representative Sanders (regarding PILT—20 minutes), Representative Furse/Representative Porter (regarding timber salvage—60 minutes), Representative Gutknecht (regarding across-the-board cut—20 minutes), Representative Chenoweth (regarding grizzly bears—10 minutes), Representative Istook (regarding BIA—20 minutes), and Representative Yates (regarding telecommunications—10 minutes). Page H6625 Amendments: Amendments ordered printed pursuant to the rule appear on pages H6532–35. Senate Messages: Message received from the Senate today appears on page H6513. Quorum Calls—Votes: Two yea-and-nay votes and eight recorded votes developed during the proceedings of the House today. There were no quorum calls. Pages H6528, H6528–29, H6556–57, H6566, H6586–87,"
1,CREC-2001-03-23-pt1-PgD260-3,1,"March 29, Subcommittee on Telecommunications and the Internet, hearing on ‘‘FCC Chairman Michael K. Powell: Agenda and Plans for Reform,’’ 10 a.m., 2123 Rayburn. Committee on Financial Services, March 27, Subcommittee on Capital Markets, Insurance, and Government Sponsored Enterprises, hearing on the agreement by Fannie Mae and Freddie Mac to voluntarily enhance capital strength, disclosure, and market discipline, 2 p.m., 2128 Rayburn. March 28, full Committee, to mark up the following bills: H.R. 974, Small Business Interest Checking Act of 2001; and H.R. 1088, Investor and Capital Markets Fee Relief Act, 10 a.m., 2128 Rayburn. March 29, Subcommittee on Domestic Monetary Policy, Technology and Economic Growth, hearing on Beyond the Tax Cut: Unleashing the Economy, 10 a.m., 2128 Rayburn. Committee on Government Reform, March 27, Subcommittee on Criminal Justice, Drug Policy and Human Resources, hearing on ‘‘Medical’’ Marijuana, Federal Drug Law and the Constitution’s Supremacy Clause, 2:30 p.m., 2154 Rayburn. March 27, Subcommittee on Energy Policy, Natural Resources and Regulatory Affairs, hearing on ‘‘A Rush to Regulate—the Congressional Review Act and Recent Federal Regulations,’’ 10 a.m., 2154 Rayburn. March 27, Subcommittee on National Security, Veterans’ Affairs and International Relations, hearing on Combating Terrorism: In Search of a National Strategy, 10 a.m., 2247 Rayburn. March 30, Subcommittee on Government Efficiency, Financial Management, and Intergovernmental Affairs, hearing on ‘‘Oversight of the Federal Government’s Consolidated Financial Statements,’’ 10 a.m., 2154 Rayburn. Committee on International Relations, March 28, to mark up the following measures: H. Res. 91, expressing the sense of the House of Representatives regarding the human rights situation in Cuba; H.R. 428, concerning the participation of Taiwan in the World Health Organization; H. Res. 56, urging the appropriate representative of the United States to the United Nations Commission on Human Rights to introduce at the annual meeting of the Commission a resolution calling upon the People’s Republic of China to end its human rights violations in China and Tibet; and H. Con. Res. Expressing the sense of Congress that the 2008 Olympic Games should not be held in Beijing unless the Government of the People’s Republic of China releases all political prisoners, ratifies the International Covenant on Civil and Political Rights and observes internationally recognized human rights, 10 a.m., 2172 Rayburn. March 28, Subcommittee on Africa and the Subcommittee on International Operations and Human Rights, joint hearing on America’s Sudan Policy: A New Direction? 2:30 a.m., 2172 Rayburn. March 29, Subcommittee on the Middle East and South Asia, hearing on Developments in the Middle East, 10 a.m., 2172 Rayburn. Committee on the Judiciary, March 28, to consider Subcommittee Rules of Procedure for private immigration bills and private claims bills and to mark up the following measures: H.R. 768, Need-Based Educational Aid Act of 2001; H.R. 503, Unborn Victims of Violence Act of 2001; H.R. 863, Consequences for Juvenile Offenders Act of 2001; and a private claims bill, 10 a.m., 2141 Rayburn. March 29, Subcommittee on Crime, oversight hearing on Drug Trafficking on the Southwest Border, 10 a.m., 2237 Rayburn. Committee on Resources, March 27, Subcommittee on National Parks, Recreation and Public Lands, oversight hearing on the Yosemite Valley Plan, 10 a.m., 1334 Longworth. March 27, Subcommittee on Water and Power, oversight hearing on the Status of Federal Western Water Resources, 2 p.m., 1324 Longworth. March 28, full Committee, to mark up the following bills: H.R. 146, Great Falls Historic District Study Act of 2001; H.R. 182, Eight Mile River Wild and Scenic River Study Act of 2001; H.R. 309, Guam Foreign Investment Equity Act; H.R. 581, to authorize the Secretary of the Interior and the Secretary of Agriculture to use funds appropriated for wildland fire management in the Department of Interior and Related Agencies Appropriations Act of 2001, to reimburse the United States Fish and Wildlife Services and the National Marine Fisheries Services to facilitate the interagency cooperation required under the Endangered Species Act of 1973 in connection with wildland fire management; H.R. 601, to ensure the continued access of hunters to those Federal lands included within the boundaries of the Craters of the Moon National Monument in the State of Idaho pursuant to Presidential Proclamation 7373 of November 9, 2000, and to continue the applicability of the Taylor Grazing Act to the disposition of grazing fees arising from the use of such lands; and 642, to reauthorize the Chesapeake Bay Office of the National Oceanic and Atmospheric Administration, 10 a.m., 1324 Longworth. March 29, Subcommittee on Energy and Mineral Resources, oversight hearing on the Effect of Mining Claim Fees on Domestic Exploration: Are They Worth It? 2 p.m., 1324 Longworth. March 29, Subcommittee on Fisheries Conservation, Wildlife and Oceans, to mark up the following bills: H.R. 643, African Elephant Conservation Reauthorization Act of 2001; H.R. 645, Rhinoceros and Tiger Conservation Reauthorization Act of 2001; and H.R. 700, Asian Elephant Conservation Reauthorization Act of 2001, followed by an oversight hearing on Comprehensive Conservation Planning and the Operations and Maintenance Backlog in the National Wildlife Refuge System, 9:30 a.m., 1334 Longworth. March 29, Subcommittee on Forests and Forest Health, hearing on the Effective Community Involvement in National Forest Restoration and Recreation Efforts: Obstacles and Solutions, 10 a.m., 1324 Longworth. Committee on Rules, March 27, to consider the following: Concurrent Resolution on the Budget for Fiscal Year 2002; and H.R. 6, Marriage Penalty and Family Tax Relief Act of 2001, 2 p.m., H–313 Capitol."
2,CREC-2001-05-08-pt1-PgD410,1,"H. Res. 135, providing for consideration of H.R. 581. to authorize the Secretary of the Interior and the Secretary of Agriculture to use funds appropriated for wildland fire management in the Department of the Interior and Related Agencies Appropriations Act, 2001, to reimburse the United States Fish and Wildlife Service and the National Marine Fisheries Service to facilitate the interagency cooperation required under the Endangered Species Act of 1973 in connection with wildland fire management (H. Rept. 107–59); Conference report on H. Con. Res. 83, establishing the congressional budget for the United States Government for fiscal year 2002, revising the congressional budget for the United States Government for fiscal year 2001, and setting forth appropriate budgetary levels for each of fiscal years 2003 through 2011 (H. Rept. 107–60); and H. Res. 136, waiving points of order against the conference report to accompany H. Con. Res. 83, establishing the congressional budget for the United States Government for fiscal year 2002, revising the congressional budget for the United States Government for fiscal year 2001, and setting forth appropriate budgetary levels for each of fiscal years 2003 through 2011 (H. Rept. 107–61). Pages H1957–H2004, H2021 Speaker Pro Tempore: Read a letter from the Speaker wherein he appointed Representative Issa to act as Speaker pro tempore for today. Page H1931 Guest Chaplain: The prayer was offered by the guest Chaplain, the Rev. Thomas A. Kuhn, Church of the Incarnation, Dayton, Ohio. Page H1936 Recess: The House recessed at 1:04 p.m. and reconvened at 2 p.m. Page H1936 Suspensions: The House agreed to suspend the rules and pass the following measures: 50th Anniversary of the National Science Foundation: H. Con. Res. 108, honoring the National Science Foundation for 50 years of service to the Nation; and Pages H1938–43, H1950 20th Annual National Peace Officers’ Memorial Service: H. Con. Res. 74, authorizing the use of the Capitol Grounds for the 20th annual National Peace Officers’ Memorial Service. Pages H1943–44 Recess: The House recessed at 2:55 p.m. and reconvened at 5 p.m. Page H1944 Mexico-United States Interparliamentary Group: The Chair announced the Speaker’s appointment of the following members to the Mexico-United States Interparliamentary Group: Representatives Ballenger, Dreier, Stenholm, Barton of Texas, Filner, Lewis of Kentucky, Manzullo, Granger, Reyes and Thompson of California. Chairman Kolbe was previously appointed on March 28, 2001. Page H1944 Committee on Vital and Health Statistics: The Chair announced the Speaker’s appointment of Mr. Jeffery S. Blair of Albuquerque, New Mexico to the National Committee on Vital and Health Statistics for a four year term. Pages H1944–45 Recommittal of Budget Conference Report: The House agreed to H. Res. 134, providing for recommittal of the conference report to accompany H. Con. Res. 83, establishing the congressional budget for the United States Government for fiscal year 2002, revising the congressional budget for the United States Government for fiscal year 2001, and setting forth appropriate budgetary levels for each of fiscal years 2003 through 2011 by a yea-and-nay vote of 409 yeas to 1 nay, Roll No. 101. Pages H1951–56 Earlier, the House agreed to H. Res. 131,the rule that waived a requirement of clause 6(a) of rule XIII with respect to consideration of certain resolutions reported from the Committee on Rules by a yea-andnay vote of 214 yeas to 200 nays, Roll No. 100. Pages H1945–51 Quorum Calls Votes: Two yea-and-nay votes developed during the proceedings of the House today and appears on pages H1950–51 and H1956. There were no quorum calls. Adjournment: The House met at 12:30 p.m. and adjourned at 9:50 p.m."
3,CREC-2001-05-08-pt1-PgD410,2,"Committee on Rules: Granted, by voice vote, an open rule providing 1 hour of general debate on H.R. 581, to authorize the Secretary of the Interior and the Secretary of Agriculture to use funds appropriated for wildland fire management in the Department of the Interior and Related Agencies Appropriations Act, 2001, to reimburse the United States Fish and Wildlife Service and the National Marine Fisheries Service to facilitate the interagency cooperation required under the Endangered Species Act of 1973 in connection with wildland fire management The rule waives section 311 of the Congressional Budget Act of 1974 (prohibiting consideration of legislation or an amendment that would cause the total level of new budget authority or outlays in the most recent budget resolution to be exceeded, or"
4,CREC-2001-05-08-pt1-PgD410,3,"Committee on Environment and Public Works: Subcommittee on Fisheries, Wildlife, and Water, to hold hearings to examine the listing and de-listing processes of the Endangered Species Act, 9:30 a.m., SD–628. Committee on Governmental Affairs: to hold oversight hearings to examine federal election practices and procedures, 10 a.m., SD–342. Select Committee on Intelligence: to hold closed hearings on intelligence matters, 2 p.m., SH–219."
5,CREC-1996-09-13-pt1-PgD938-4,1,"Committee on Resources, September 17, oversight hearing on Equal access to the courts under the Endangered Species Act; to be followed by a hearing on H.R. 3862, Citizen’s Fair Housing Act of 1996, 2 p.m., 1324 Longworth. September 18, to mark up the following bills: H.R. 2392, to amend the Umatilla Basin Project Act to establish boundaries for irrigation districts within the Umatilla Basin; H.R. 3258, to direct the Secretary of the Interior to convey certain real property located within the Carlsbad project in New Mexico to Carlsbad Irrigation District; H.R. 2561, Glacier Bay National Park and Preserve Boundary Adjustment Act of 1995; H.R. 3973, to provide for a study of the recommendations of the Joint Federal-State Commission on Policies and Programs Affecting Alaska Natives; H.R. 3819, to amend the act establishing the National Park Foundation; H.R. 3155, to amend the Wild and Scenic Rivers Act by designating the Wekiva River, Seminole Creek, and Rock Springs Run in the State of Florida for study and potential addition to the national wild and scenic rivers system; H.R. 3568, to designate 51.7 miles of the Clarion River, located in Pennsylvania, as a component of the National Wild and Scenic Rivers System; and H.R. 3497, to expand the boundary of the Snoqualmie National Forest, 11 a.m., 1324 Longworth. September 19, Subcommittee on Fisheries, Wildlife and Oceans, to continue oversight hearings on the National Wildlife Refuge System, examining in some detail the operation and maintenance of the 510 units that comprise the System, 10 a.m., 1334 Longworth. September 19, Subcommittee on Water and Power Resources, oversight hearing on accounting practices for Federal hydropower marketing, 2 p.m., 1334 Longworth. Committee on Rules, September 17, hearing on H.R. 3024, United States-Puerto Rico Political Status Act, 1 p.m., and to consider H.R. 1858, Financial Institutions Regulatory Relief Act, 4 p.m., H–313 Capitol. Committee on Science, September 17, Subcommittee on Technology, hearing on Technological Advances in Genetics Testing: Implications for the Future, 1:30 p.m., 2318 Rayburn."
6,CREC-1995-03-07-pt1-PgD299,1,"provided for Environmental Restoration, Defense, and to offset the reduction by an increase in the rescission for Research, Development, Test and Evaluation, Defense-Wide. Pages S3587–93 Withdrawn: Helms/Faircloth Amendment No. 325 (to committee amendment beginning on page 1, line 3), to provide that the Endangered Species Act of 1973 shall not apply with respect to Fort Bragg, North Carolina. Pages S3597–99 Pending: Helms (Modified) Amendment No. 326 (to committee amendment beginning on page 1, line 3), to strengthen international sanctions against the Castro government in Cuba, to develop a plan to support a transition government leading to a democratically elected government in Cuba. Pages S3599–S3600 Senate will continue consideration of the bill on Wednesday, March 8. Nominations Confirmed: Senate confirmed the following nominations: Herschelle Challenor, of Georgia, to be a Member of the National Security Education Board for a term of four years. Sheila Cheston, of the District of Columbia, to be General Counsel of the Department of the Air Force. Page S3640 Messages From the House: Page S3603 Measures Referred: Page S3603 Communications: Page S3603 Statements on Introduced Bills: Pages S3604–22 Additional Cosponsors: Pages S3622–23 Amendments Submitted: Pages S3623–35 Notices of Hearings: Page S3635 Authority for Committees: Page S3636 Additional Statements: Pages S3636–39 Record Votes: Three record votes were taken today. (Total—101) Pages S3555, S3593 Recess: Senate convened at 10:30 a.m., and recessed at 6:34 p.m., until 10:30 a.m., on Wednesday, March 8, 1995. (For Senate’s program, see the remarks of the Acting Majority Leader in today’s RECORD on page S3640.)"
7,CREC-1995-03-07-pt1-PgD299,2,"Committee on Environment and Public Works: Subcommittee on Drinking Water, Fisheries and Wildlife concluded hearings on S. 191, S. 503, and other related proposals to institute a moratorium on certain activities under authority of the Endangered Species Act, after receiving testimony from Senator Hutchison; Bruce Babbitt, Secretary of the Interior; David Wilcove, on behalf of the Environmental Defense Fund and the Society for Conservation Biology, and William J. Snape III, Defenders of Wildlife, both of Washington, D.C.; Robert E. Gordon, Jr., National Wilderness Institute, Alexandria, Virginia; Rick Perry, Texas Department of Agriculture, Austin; James A. Kraft, Plum Creek Timber Company,"
8,CREC-2024-04-30-pt1-PgD417,1,"Frm 00004 Fmt 0627 Rejected the Dingell motion to recommit the bill to the Committee on Natural Resources, by a yeaand-nay vote of 204 yeas to 211 nays, Roll No. 166. Page H2750 H. Res. 1173, the rule providing for consideration of the bills (H.R. 615), (H.R. 2925), (H.R. 3195), (H.R. 764), (H.R. 3397), (H.R. 6285), and (H.R. 6090) was agreed to by a recorded vote of 209 ayes to 205 noes, Roll No. 163, after the previous question was ordered by a yea-and-nay vote of 209 yeas to 205 nays, Roll No. 162. Pages H2716–18 Trust the Science Act: The House passed H.R. 764, to require the Secretary of the Interior to reissue regulations removing the gray wolf from the list of endangered and threatened wildlife under the Endangered Species Act of 1973, by a recorded vote of 209 ayes to 205 noes, Roll No. 169. Pages H2728–35, H2751–52 Rejected the Huffman motion to recommit the bill to the Committee on Natural Resources, by a yea-and-nay vote of 205 yeas to 210 nays, Roll No. 168. Page H2751–52 H. Res. 1173, the rule providing for consideration of the bills (H.R. 615), (H.R. 2925), (H.R. 3195), (H.R. 764), (H.R. 3397), (H.R. 6285), and (H.R. 6090) was agreed to by a recorded vote of 209 ayes to 205 noes, Roll No. 163, after the previous question was ordered by a yea-and-nay vote of 209 yeas to 205 nays, Roll No. 162. Pages H2716–18 Superior National Forest Restoration Act: The House passed H.R. 3195, to rescind Public Land Order 7917, to reinstate mineral leases and permits in the Superior National Forest, to ensure timely review of Mine Plans of Operations, by a yea-and-nay vote of 212 yeas to 203 nays, Roll No. 171. Pages H2718–28, H2752–54 Rejected the McCollum motion to recommit the bill to the Committee on Natural Resources, by a yea-and-nay vote of 205 yeas to 210 nays, Roll No. 170. Pages H2752–53 H. Res. 1173, the rule providing for consideration of the bills (H.R. 615), (H.R. 2925), (H.R. 3195), (H.R. 764), (H.R. 3397), (H.R. 6285), and (H.R. 6090) was agreed to by a recorded vote of 209 ayes to 205 noes, Roll No. 163, after the previous question was ordered by a yea-and-nay vote of 209 yeas to 205 nays, Roll No. 162. Pages H2716–18 Discharge Petition: Representative Steube presented to the clerk a motion to discharge the Committee on Rules from the consideration of the resolution (H. Res. 961) entitled, a resolution providing for consideration of the bill (H.R. 5863) to provide tax relief with respect to certain Federal disasters (Discharge Petition No. 11)."
9,CREC-1997-09-24-pt1-PgD997,1,"Committee on Environment and Public Works: Committee concluded hearings on S. 1180, authorizing funds for fiscal years 1998 through 2003 for programs of the Endangered Species Act, after receiving testimony from former Senator James McClure, on behalf of the National Endangered Species Act Reform Coalition; Duane L. Shroufe, Arizona Game and Fish Department, Phoenix, on behalf of the International Association of Fish and Wildlife Agencies; and W. Henson Moore, on behalf of the American Forest and Paper Association and the Endangered Species Coordinating Council, Mark Van Putten, National Wildlife Federation, and Michael J. Bean, Environmental Defense Fund, all of Washington, D.C."
