keyword,count
amendment,1
ayes,1
bill,1
budget,1
defense,2
deficit,1
department,1
director,1
entitled,1
examine,1
federal,2
fiscal,2
fund,1
funds,1
heard,1
hearings,2
held,1
hold,2
introduced,1
july,1
june,1
located,1
march,1
may,1
national,5
nays,1
neutral,1
noes,1
office,1
passed,1
post,1
postal,1
public,2
purposes,1
rayburn,2
receiving,1
recorded,1
rept,1
reserve,1
roll,1
rule,1
security,1
senate,4
service,1
services,1
sought,1
state,1
states,5
subcommittee,4
testimony,1
united,3
vote,3
year,2
yeas,1
