keyword,count
a.m.,1
administration,1
agency,1
american,1
animal,1
area,1
bald,1
bear,1
bill,1
bird,1
breed,1
butterfly,1
california,2
case,1
clinton,1
condor,1
congress,1
county,1
court,1
dam,1
eagle,1
environmental,2
farmer,1
federal,4
fire,1
fish,4
forest,2
grizzly,1
habitat,2
house,1
hunt,1
industry,1
island,1
kill,1
land,2
law,1
list,1
log,1
make,1
marine,1
mountain,1
nest,1
office,1
oil,1
otter,1
owl,1
p.m.,1
park,2
people,2
plan,1
plant,1
president,1
protect,1
protection,1
republican,1
river,1
salmon,1
school,1
sea,1
senate,1
service,1
state,4
subc,1
threaten,1
timber,1
time,1
tree,1
turtle,1
u.s.,1
vote,1
water,2
whale,1
wildlife,3
wolf,1
work,1
year,6
