GOID,Date,Topic
433375738,2006-08-31,4
433422646,2006-10-31,0
433462991,2006-12-28,7
433470077,2006-12-11,0
433481259,2007-01-30,7
433482278,2007-01-10,4
433486789,2007-01-28,2
433501190,2007-01-06,6
433521499,2007-02-08,0
433524397,2007-02-06,0
433533779,2007-03-28,1
433545819,2007-03-08,7
433564272,2007-04-10,2
433567343,2007-04-10,2
433573735,2007-04-04,0
433584349,2007-05-15,2
433587636,2007-05-20,0
433588572,2007-05-13,6
433595745,2007-05-06,1
433598967,2007-05-01,4
433599480,2007-06-28,2
433601184,2007-06-29,0
433611763,2007-06-14,1
433612016,2007-06-15,0
433615758,2007-06-08,0
433619361,2007-07-11,0
433634592,2007-07-21,8
433652489,2007-08-29,2
433675304,2007-09-05,6
433678202,2007-09-23,3
433684686,2007-09-08,7
433689531,2007-10-18,1
433709062,2007-11-27,0
433713732,2007-11-13,0
433715348,2007-11-01,1
433749461,2007-12-05,2
433751330,2007-12-03,4
433756611,2008-01-31,2
433758791,2008-01-08,2
433772541,2008-01-09,2
433785827,2008-02-22,0
433798712,2008-03-11,2
433798895,2008-02-01,7
433808238,2008-03-17,7
433809452,2008-03-27,2
433818999,2008-04-30,7
433831224,2008-04-12,1
433831823,2008-04-05,0
433845131,2008-05-25,0
433848127,2008-05-22,2
433852489,2008-05-15,7
433852627,2008-05-13,7
433858133,2008-05-01,1
433860221,2008-06-24,1
433875086,2008-07-19,1
433875912,2008-06-25,4
433901499,2008-08-12,2
433905756,2008-08-23,7
433906680,2008-08-23,0
433918256,2008-08-06,2
433949703,2008-10-18,7
433974554,2008-11-16,1
433978198,2008-11-16,
433984722,2008-12-31,2
433989638,2008-12-16,1
433995146,2008-12-12,1
434013719,2009-01-15,2
434014708,2009-01-16,4
434036973,2009-02-01,0
434047136,2009-02-07,4
434048962,2009-03-27,0
434050139,2009-03-20,7
434051062,2009-03-24,0
434052735,2009-03-07,0
434061923,2009-03-04,1
434062246,2009-04-25,0
434078819,2009-05-24,0
434083058,2009-05-09,1
434086251,2009-05-07,2
434105030,2009-06-20,3
434126915,2009-07-17,1
434156531,2009-08-16,6
434159344,2009-08-19,3
434178323,2009-09-22,2
434182242,2009-09-16,3
434191908,2009-09-10,1
434211315,2009-10-23,7
434214514,2009-10-03,7
434219537,2009-10-08,2
434221323,2009-10-07,2
434272546,2010-01-13,5
