Unnamed: 0,GOID,topic,gamma,Date
47716,109846173,10,0.378096819095912,1998-08-02
44429,276285002,9,0.604291118893619,2010-05-14
44430,276531081,9,0.70265029193453,2010-05-15
265,280504819,1,0.53286646237451,1988-08-31
15434,280508448,4,0.461570044343192,1988-09-22
45752,280508745,10,0.387375936627486,1988-09-04
15437,280513047,4,0.515010328481498,1988-09-28
45756,280516009,10,0.605185644278104,1988-09-18
15424,280540933,4,0.727761225069205,1988-08-12
35642,280545952,8,0.875707110963956,1988-08-23
5330,280546894,2,0.560815269177234,1988-09-28
10382,280586901,3,0.415026527369794,1988-09-27
5342,280613713,2,0.977904399267605,1988-12-23
10386,280618596,3,0.898621920946018,1988-10-02
15430,280649703,4,0.615739629674597,1988-09-15
35657,280654064,8,0.840788160282804,1988-10-05
35670,280689771,8,0.833933659325311,1989-02-21
5341,280720888,2,0.981653452428217,1988-12-22
5354,280736078,2,0.537169239006793,1989-04-01
40739,280742833,9,0.551827506228003,1989-04-26
20520,280750750,5,0.555875422293362,1989-04-10
5355,280751893,2,0.890643169265646,1989-04-02
5391,280759594,2,0.36963231632159,1989-08-16
5396,280782432,2,0.452901693681695,1989-09-06
5386,280789792,2,0.47851572760667,1989-08-04
5370,280813019,2,0.712688932203474,1989-06-04
40744,280815426,9,0.284551926523966,1989-05-21
5385,280821684,2,0.439453392075183,1989-07-27
5408,280829712,2,0.516920789397088,1989-11-07
30643,280830786,7,0.599864590036559,1989-06-13
40743,280833756,9,0.769687953736702,1989-05-02
5368,280844959,2,0.554303197848039,1989-06-01
40789,280849964,9,0.489090031535608,1989-11-30
35702,280863370,8,0.924878880786884,1989-06-19
40771,280865349,9,0.573104665927302,1989-08-18
40777,280865973,9,0.398835167421337,1989-09-14
5407,280886256,2,0.688754847965363,1989-10-26
5403,280896750,2,0.447124347285205,1989-10-12
40758,280906873,9,0.745905170090205,1989-06-26
15513,280912917,4,0.535364182731054,1989-10-22
5395,280914279,2,0.70959540183826,1989-09-03
20575,280918272,5,0.496433247826582,1989-12-09
35734,280926165,8,0.473321647046293,1989-11-14
35738,280956224,8,0.635613832475043,1990-01-02
40870,280960529,9,0.658459424195185,1990-06-27
40863,280964384,9,0.744221916726989,1990-06-26
15512,280966463,4,0.678847900606132,1989-10-19
15489,280968424,4,0.535382948020939,1989-07-09
30743,280973989,7,0.32653846813856,1990-06-12
40860,280974111,9,0.63494331374057,1990-06-23
35800,280990125,8,0.575789455752804,1990-06-19
25635,281001639,6,0.491304617965267,1990-02-11
20587,281007190,5,0.428530983443431,1990-03-29
40882,281012248,9,0.816675589744549,1990-07-15
