filename,date,topics,keywords
CREC-2005-07-12-pt1-PgD739-2.pdf,"July 12, 2005",4,"subcommittee, march, federal, fiscal, year, national, hearings, rayburn, services, states"
CREC-2018-11-13-pt1-PgD1164.pdf,"November 13, 2018",3,"subcommittee, states, united, federal, house, national, state, examine, public, rayburn"
CREC-2006-03-09-pt1-PgD217-2.pdf,"March 9, 2006",4,"subcommittee, march, federal, fiscal, year, national, hearings, rayburn, services, states"
CREC-2002-06-18-pt1-PgD636.pdf,"June 18, 2002",1,"house, subcommittee, vote, department, public, roll, rule, national, heard, states"
CREC-2014-03-25-pt1-PgD309-2.pdf,"March 25, 2014",6,"subcommittee, department, defense, security, united, national, states, entitled, veterans, affairs"
CREC-2000-02-24-pt1-PgD119-4.pdf,"February 24, 2000",7,"subcommittee, march, year, fiscal, hold, hearings, april, national, rayburn, federal"
CREC-2005-05-04-pt1-PgD438.pdf,"May 4, 2005",1,"house, subcommittee, vote, department, public, roll, rule, national, heard, states"
CREC-2015-05-14-pt1-PgD540.pdf,"May 14, 2015",1,"house, subcommittee, vote, department, public, roll, rule, national, heard, states"
CREC-2016-02-02-pt1-PgD92.pdf,"February 2, 2016",3,"subcommittee, states, united, federal, house, national, state, examine, public, rayburn"
CREC-2020-12-21-pt3-PgD1123-2.pdf,"December 21, 2020",0,"subcommittee, states, senate, june, united, house, public, national, federal, service"
CREC-1998-07-07-pt1-PgD728.pdf,"July 7, 1998",3,"subcommittee, states, united, federal, house, national, state, examine, public, rayburn"
CREC-2002-07-09-pt1-PgD724.pdf,"July 9, 2002",1,"house, subcommittee, vote, department, public, roll, rule, national, heard, states"
CREC-2003-04-10-pt2-PgD388.pdf,"April 10, 2003",6,"subcommittee, department, defense, security, united, national, states, entitled, veterans, affairs"
CREC-2004-06-16-pt2-PgD627.pdf,"June 16, 2004",1,"house, subcommittee, vote, department, public, roll, rule, national, heard, states"
CREC-2005-09-14-pt1-PgD916.pdf,"September 14, 2005",5,"states, united, subcommittee, national, entitled, state, vote, district, rept, house"
CREC-2008-04-01-pt1-PgD353.pdf,"April 1, 2008",4,"subcommittee, march, federal, fiscal, year, national, hearings, rayburn, services, states"
CREC-1995-03-03-pt1-PgD284.pdf,"March 3, 1995",4,"subcommittee, march, federal, fiscal, year, national, hearings, rayburn, services, states"
CREC-2002-10-15-pt2-PgD1087-2.pdf,"October 16, 2002",3,"subcommittee, states, united, federal, house, national, state, examine, public, rayburn"
CREC-1996-09-09-pt1-PgD907.pdf,"September 9, 1996",0,"subcommittee, states, senate, june, united, house, public, national, federal, service"
CREC-2016-06-15-pt1-PgD667.pdf,"June 15, 2016",6,"subcommittee, department, defense, security, united, national, states, entitled, veterans, affairs"
CREC-1999-06-28-pt1-PgD738-5.pdf,"June 28, 1999",0,"subcommittee, states, senate, june, united, house, public, national, federal, service"
CREC-1997-04-07-pt1-PgD294-5.pdf,"April 7, 1997",7,"subcommittee, march, year, fiscal, hold, hearings, april, national, rayburn, federal"
