GOID,Topic
423968056,6
423987935,6
423991776,3
424019341,2
424018521,0
424019099,7
424026006,1
424027746,4
424041203,1
424040034,7
424034396,1
424050631,2
424092973,0
424105594,2
424094771,0
424108675,4
424148596,1
424137948,1
424153078,4
424162788,1
424235560,7
424274694,1
424264139,7
424269028,1
424283194,0
424294832,1
424322469,1
424310511,5
424321598,1
424325098,1
424333150,8
424346767,6
424366259,7
424369931,4
424365689,2
424362537,1
424363639,2
424352048,2
424351210,0
424375445,8
424374934,3
424432330,0
424419453,8
424457227,1
424436625,0
424517639,8
424591427,4
424662628,2
424656832,7
424754360,7
424842890,7
425722412,1
424852231,2
424876804,0
424927357,2
425063159,1
425140329,1
397926157,1
425130792,2
425199619,0
425179910,8
425203436,0
425253329,0
290817978,4
292018067,0
425301982,0
292028478,0
290809367,5
292037287,0
292037751,2
292036208,3
292036511,2
292077494,2
292064929,0
425350085,0
290821297,0
292038748,5
292130525,7
292129368,1
292086120,5
292147880,2
292093393,8
292094642,1
425447319,0
425435965,0
292158069,5
290858933,3
292164110,5
292196923,5
290860585,0
292120682,0
290852696,6
292121473,2
292163008,3
292203192,0
292180679,5
292148518,3
425552558,0
290889745,4
425715239,0
292219589,5
425684919,3
425698236,4
425738872,6
425722284,7
425759210,1
292205103,4
290897277,2
290893085,7
290890498,5
292295097,2
425777224,7
290910566,7
292269823,5
292256755,2
397937441,6
292317565,3
292262448,1
397955601,0
425835668,7
292297398,5
292311630,7
425821615,2
425825146,0
292335543,3
292336619,5
292298793,5
290936519,0
292384974,3
292314566,8
290925882,1
292359407,5
292344098,5
290931653,0
292369915,0
290944816,5
425915725,2
290937964,2
292405416,7
292402590,3
292331751,2
290938795,0
425930811,2
290944489,2
425974191,1
292401062,0
290955468,4
425962343,1
425958703,2
425957255,7
292436168,2
290950210,4
292358698,7
292399795,5
292312864,2
398031028,0
398038917,4
426327280,3
292536305,7
292472623,7
292486402,7
306872395,0
292463779,1
292495289,2
426394488,0
292501929,5
291002485,2
292524629,0
306866438,9
292665528,3
292509266,5
426466830,5
292502979,3
306886016,6
292704374,2
292703129,2
426477668,0
291018539,2
398002013,1
426470169,2
398000132,8
292683289,1
292485229,3
292502219,2
292535935,6
292638015,3
426516216,1
292624613,5
292557117,3
292634031,2
292650834,2
291054966,0
292601895,1
292715418,0
292621992,5
426581525,0
292618370,2
306907838,2
292605262,2
426567741,0
306917267,0
306924850,1
426612025,7
292737162,5
426646753,6
426651323,2
426649115,2
292710020,4
398100134,0
426635510,0
306935781,7
426639720,7
292686871,1
306969934,9
292736109,1
292713022,2
426664963,6
306952466,9
292703391,8
306983352,3
306989015,7
306964690,4
292679293,3
292732998,3
292827958,1
292710062,5
282423662,7
282366258,0
292790702,5
282401472,3
426746157,5
282451421,0
292801933,2
292866871,5
292860647,0
292762635,0
292898492,1
426800482,1
282428511,1
282429053,0
292859876,2
426794829,3
292865535,2
307004802,3
292874448,3
282383748,7
426824518,0
292871099,2
398098762,0
282458937,0
292886884,0
426859730,5
426857117,0
307056860,1
292778442,3
282421207,0
307043948,6
282491483,2
307084570,1
292833135,2
426875144,2
280540933,2
426924296,1
280545952,5
280504819,3
280508745,1
307080152,1
280649703,0
426943331,0
280516009,3
426940077,0
280508448,6
426931914,0
280586901,2
280513047,2
280546894,5
426977181,0
280618596,6
280654064,0
282500484,0
426978391,1
426980820,1
282610037,1
307073143,6
427013004,0
282625338,0
280720888,5
280613713,3
282517999,0
426998950,4
427052293,0
280689771,3
307125909,1
282695897,0
427115409,6
282522323,1
307132379,4
282675110,2
307130951,2
280736078,7
280751893,3
282654071,3
307135543,0
280750750,1
282724567,3
282684384,4
280742833,1
282597995,1
427171246,1
427185821,1
280833756,5
280815426,2
398098888,7
280844959,5
427256055,0
280813019,5
427252044,1
427248890,0
280830786,2
282635774,2
282614739,2
427244704,2
282604475,5
280863370,5
307143064,3
280906873,3
280968424,1
307197737,4
282570106,3
427270066,2
280821684,1
280789792,2
427329986,4
282635947,0
307193341,3
282628455,2
280759594,2
307170873,2
280865349,3
307189773,0
280914279,1
280782432,1
427368637,6
427366801,6
280865973,5
307204789,1
307185015,1
427346747,0
280896750,5
280966463,2
280912917,7
427386477,1
280886256,0
280829712,4
427439031,0
280926165,5
280849964,3
427482269,0
280918272,1
280956224,5
282699984,0
307224803,1
282764916,4
427495597,5
281001639,2
427532886,3
307292082,8
427591718,5
307285179,1
282803769,2
281007190,1
281076613,1
307296274,0
281051665,3
282824827,4
282779013,3
281056347,0
281098373,8
282776373,4
307253954,4
281058494,5
281102511,6
281054930,7
281109048,0
282719275,2
427668935,3
281115574,1
281123232,8
427660586,1
281050150,5
307267795,1
282767911,1
281104783,0
307274205,4
282856687,2
427656302,2
398199303,6
282759428,2
281141699,5
281098652,2
281142181,2
282700408,0
281092851,4
427648779,0
427644603,0
282835113,1
281111992,8
398146857,0
282749002,2
427664297,0
