GOID,Title,Date,Source Type,Authors,Publication ID,Publication Title,Publisher City,Publisher Province,Publisher Name,Publisher ZipCode,Object Type,Language,Pages,Start Page,Company Name,Company NAIC,Class Terms,Subject Terms
433375738,Park Service To Emphasize Conservation In New Rules,2006-08-31,Newspapers,"['Barringer, Felicity']",11561,New York Times,NEW YORK,NY,New York Times Company,10018.0,Articles - All Types,English,0.0,A.16,['National Park Service-US'],['924120'],,"['Conservation', 'Recreation industry', 'Environmental policy']"
433422646,"On Faraway Shoals, Researchers Struggle to Save the Seals",2006-10-31,Newspapers,"['Spring, Joe']",11561,New York Times,NEW YORK,NY,New York Times Company,10018.0,Articles - All Types,English,0.0,F.2,,,,"['Animal populations', 'Endangered & extinct species', 'Seals']"
433462991,Agency Proposes to List Polar Bears as Threatened,2006-12-28,Newspapers,,11561,New York Times,NEW YORK,NY,New York Times Company,10018.0,Articles - All Types,English,0.0,A.21,['Department of the Interior'],['924120'],,"['Endangered & extinct species', 'Global warming', 'Polar bears']"
433470077,"In Kansas, a Line Is Drawn Around a Prairie Dog Town",2006-12-11,Newspapers,"['Barringer, Felicity']",11561,New York Times,NEW YORK,NY,New York Times Company,10018.0,Articles - All Types,English,0.0,A.22,,,,"['Pest control', 'Rodents', 'Endangered & extinct species', 'Property rights', 'Wildlife conservation']"
433481259,"In the Rockies, Pines Die and Bears Feel It",2007-01-30,Newspapers,"['Petit, Charles']",11561,New York Times,NEW YORK,NY,New York Times Company,10018.0,Articles - All Types,English,0.0,F.1,,,,"['Environmental protection', 'Insects', 'Trees', 'Endangered & extinct species', 'Bears']"
433482278,Agency Affirms Human Influence on Climate,2007-01-10,Newspapers,"['Revkin, Andrew C']",11561,New York Times,NEW YORK,NY,New York Times Company,10018.0,Articles - All Types,English,0.0,A.16,"['National Oceanic & Atmospheric Administration', 'NOAA']","['924120', '924120']",,"['Global warming', 'Greenhouse gases', 'Human influences', 'Climate change']"
433486789,2 Wolf Groups to Lose Endangered Status,2007-01-28,Newspapers,,11561,New York Times,NEW YORK,NY,New York Times Company,10018.0,Articles - All Types,English,0.0,1.19,['Fish & Wildlife Service'],['924120'],,"['Endangered & extinct species', 'Wolves']"
433501190,Justices to Consider Impact of Mental Illness on Death Penalty,2007-01-06,Newspapers,"['Greenhouse, Linda']",11561,New York Times,NEW YORK,NY,New York Times Company,10018.0,Articles - All Types,English,0.0,A.12,['Supreme Court-US'],['922110'],,"['Constitutional law', 'Mental competency', 'Court calendars', 'Capital punishment']"
433521499,Interior Dept. Gets Reprieve On Its Decision on Bald Eagle,2007-02-08,Newspapers,"['Barringer, Felicity']",11561,New York Times,NEW YORK,NY,New York Times Company,10018.0,Articles - All Types,English,0.0,A.14,['Department of the Interior'],['924120'],,"['Birds', 'Wildlife conservation', 'Endangered & extinct species']"
433524397,"For Wolves, a Recovery May Not Be the Blessing It Seems",2007-02-06,Newspapers,"['Robbins, Jim']",11561,New York Times,NEW YORK,NY,New York Times Company,10018.0,Articles - All Types,English,0.0,F.2,['Defenders of Wildlife'],['813312'],,"['Endangered & extinct species', 'Wildlife management', 'Conservation', 'Public opinion', 'Hunting', 'Wolves']"
433533779,Proposed Changes Would Shift Duties In Protecting Species,2007-03-28,Newspapers,"['Barringer, Felicity']",11561,New York Times,NEW YORK,NY,New York Times Company,10018.0,Articles - All Types,English,0.0,A.16,"['Fish & Wildlife Service', 'National Marine Fisheries Service']","['924120', '926150']",,"['Wildlife conservation', 'Wildlife management', 'State regulation', 'Federal legislation', 'Endangered & extinct species']"
433545819,Memos Tell Officials How to Discuss Climate,2007-03-08,Newspapers,"['Revkin, Andrew C']",11561,New York Times,NEW YORK,NY,New York Times Company,10018.0,Articles - All Types,English,0.0,A.17,['Fish & Wildlife Service'],['924120'],,"['Environmental policy', 'Memoranda', 'Travel', 'Public officials', 'Climate change']"
433564272,National Briefing Washington: Upgrade For Manatee Is Recommended,2007-04-10,Newspapers,,11561,New York Times,NEW YORK,NY,New York Times Company,10018.0,Articles - All Types,English,0.0,A.19,,,,
433567343,"National Briefing Northwest: Washington: Fish Protection Lags, Court Agrees",2007-04-10,Newspapers,"['Yardley, William']",11561,New York Times,NEW YORK,NY,New York Times Company,10018.0,Articles - All Types,English,0.0,A.19,,,,
433573735,A Milestone on Catalina Island: 2 Bald Eagles Hatch in the Wild,2007-04-04,Newspapers,"['Morris, Regan']",11561,New York Times,NEW YORK,NY,New York Times Company,10018.0,Articles - All Types,English,0.0,A.10,,,,"['Wildfowl', 'Animal reproduction', 'Endangered & extinct species']"
433584349,National Briefing Rockies: Protest Against Easing Of Wolf Protection,2007-05-15,Newspapers,,11561,New York Times,NEW YORK,NY,New York Times Company,10018.0,Articles - All Types,English,0.0,A.15,,,,
433587636,"Calaveras County Still Celebrates the Frog, but a Quarrel Has Dampened Spirits",2007-05-20,Newspapers,"['McKINLEY, JESSE']",11561,New York Times,NEW YORK,NY,New York Times Company,10018.0,Articles - All Types,English,0.0,1.21,,,,"['Fairs & exhibitions', 'Disputes', 'Frogs']"
433588572,"On the Snake River, Dam's Natural Allies Seem to Have a Change of Heart",2007-05-13,Newspapers,"['Barringer, Felicity']",11561,New York Times,NEW YORK,NY,New York Times Company,10018.0,Articles - All Types,English,0.0,1.26,,,,"['Water rights', 'Rivers', 'Environmentalists', 'Salmon', 'Dams']"
433595745,Creatures on the Knife's Edge,2007-05-06,Newspapers,"['Barringer, Felicity']",11561,New York Times,NEW YORK,NY,New York Times Company,10018.0,Articles - All Types,English,0.0,4.16,,,,"['Wildlife conservation', 'Endangered & extinct species']"
433598967,Coral Is Dying. Can It Be Reborn?,2007-05-01,Newspapers,"['Dean, Cornelia']",11561,New York Times,NEW YORK,NY,New York Times Company,10018.0,Articles - All Types,English,0.0,F.1,,,,"['Marine conservation', 'Environmental restoration', 'Coral reefs']"
433599480,Bald Eagle No Longer In Danger,2007-06-28,Newspapers,,11561,New York Times,NEW YORK,NY,New York Times Company,10018.0,Articles - All Types,English,0.0,A.19,,,,
433601184,"Bald Eagles, Thriving, Settle Into Suburban Life",2007-06-29,Newspapers,"['Barringer, Felicity']",11561,New York Times,NEW YORK,NY,New York Times Company,10018.0,Articles - All Types,English,0.0,A.18,['Department of the Interior'],['924120'],,"['Endangered & extinct species', 'Animal populations', 'Wildlife management', 'Wildfowl']"
433611763,"Only Wild Fish Matter in 'Endangered' Count, Judge Rules",2007-06-14,Newspapers,"['Barringer, Felicity']",11561,New York Times,NEW YORK,NY,New York Times Company,10018.0,Articles - All Types,English,0.0,A.20,,,,"['Fisheries management', 'Aquaculture', 'Federal court decisions', 'Endangered & extinct species']"
433612016,"Meadow Birds in Precipitous Decline, Audubon Says",2007-06-15,Newspapers,"['Barringer, Felicity']",11561,New York Times,NEW YORK,NY,New York Times Company,10018.0,Articles - All Types,English,0.0,A.19,['National Audubon Society'],"['813990', '813312']",,"['Animal populations', 'Suburban areas', 'Prairies', 'Habitats', 'Birds']"
433615758,The Season for Sea Turtles,2007-06-08,Newspapers,"['Mulvihill, Keith']",11561,New York Times,NEW YORK,NY,New York Times Company,10018.0,Articles - All Types,English,0.0,F.2,,,,"['Reptiles & amphibians', 'Tourist attractions', 'Wildlife management']"
433619361,Agency Takes First Step to Protect Emperor Penguin and 9 Others,2007-07-11,Newspapers,"['Barringer, Felicity']",11561,New York Times,NEW YORK,NY,New York Times Company,10018.0,Articles - All Types,English,0.0,A.14,['Fish & Wildlife Service'],['924120'],,"['Endangered & extinct species', 'Birds', 'Wildlife conservation']"
433634592,Veteran Democratic Bulldog Guards House Turf on Energy,2007-07-21,Newspapers,"['Andrews, Edmund L']",11561,New York Times,NEW YORK,NY,New York Times Company,10018.0,Articles - All Types,English,0.0,A.1,"['House of Representatives-Energy & Commerce, Committee on']",['921120'],,"['Energy policy', 'Congressional committees', 'Fuel economy standards', 'Political power']"
433652489,Smuggled Turtle Eggs Seized in Mexico,2007-08-29,Newspapers,,11561,New York Times,NEW YORK,NY,New York Times Company,10018.0,Articles - All Types,English,0.0,A.13,,,,"['Reptiles & amphibians', 'Eggs', 'Smuggling', 'Endangered & extinct species']"
433675304,Hawaii Ferry Sits Idle Amid Protests and Court Rulings,2007-09-05,Newspapers,"['Pala, Christopher']",11561,New York Times,NEW YORK,NY,New York Times Company,10018.0,Articles - All Types,English,0.0,A.20,['Hawaii Superferry'],['483114'],,"['Environmental impact', 'Ship accidents & safety', 'Demonstrations & protests', 'Ferries']"
433678202,U.S. Report Shows Decline In Loggerhead Sea Turtles,2007-09-23,Newspapers,,11561,New York Times,NEW YORK,NY,New York Times Company,10018.0,Articles - All Types,English,0.0,1.30,,,,"['Animal populations', 'Commercial fishing', 'Reptiles & amphibians']"
433684686,"Warming May Wipe Out Most Polar Bears, Study Says",2007-09-08,Newspapers,,11561,New York Times,NEW YORK,NY,New York Times Company,10018.0,Articles - All Types,English,0.0,A.11,,,,"['Global warming', 'Ice', 'Polar bears']"
433689531,New Battle of Logging vs. Spotted Owls Looms in West,2007-10-18,Newspapers,"['Barringer, Felicity']",11561,New York Times,NEW YORK,NY,New York Times Company,10018.0,Articles - All Types,English,0.0,A.24,['Bureau of Land Management'],['924120'],,"['Owls', 'Timber industry', 'Habitats', 'Forests', 'Environmental policy', 'Endangered & extinct species']"
433709062,"In Aid of a Bird, Some Inconveniences for People",2007-11-27,Newspapers,"['Zezima, Katie']",11561,New York Times,NEW YORK,NY,New York Times Company,10018.0,Articles - All Types,English,0.0,F.4,,,,"['Birds', 'Endangered & extinct species', 'Animal reproduction', 'Wildlife conservation', 'Beaches']"
433713732,"Off Endangered List, but What Animal Is It Now?",2007-11-13,Newspapers,"['Derr, Mark']",11561,New York Times,NEW YORK,NY,New York Times Company,10018.0,Articles - All Types,English,0.0,F.3,,,,"['Endangered & extinct species', 'Coyotes', 'Hybridization', 'Wolves']"
433715348,Biologists For Agency Endorse Dams Plan,2007-11-01,Newspapers,"['Barringer, Felicity']",11561,New York Times,NEW YORK,NY,New York Times Company,10018.0,Articles - All Types,English,0.0,A.16,,,,"['Hydroelectric plants', 'Fisheries management', 'Endangered & extinct species', 'Environmental protection', 'Dams']"
433749461,Idaho: Ruling On Sage Grouse,2007-12-05,Newspapers,,11561,New York Times,NEW YORK,NY,New York Times Company,10018.0,Articles - All Types,English,0.0,A.28,,,,
433751330,Nevada Learns to Cash In on Sales of Federal Land,2007-12-03,Newspapers,,11561,New York Times,NEW YORK,NY,New York Times Company,10018.0,Articles - All Types,English,0.0,A.1,,,,"['Public property', 'Wilderness areas', 'Revenue', 'Conservation', 'Rural development']"
433756611,Delay In Decision On Protecting Polar Bears,2008-01-31,Newspapers,,11561,New York Times,NEW YORK,NY,New York Times Company,10018.0,Articles - All Types,English,0.0,A.26,,,,
433758791,Decision Delayed On Polar Bears,2008-01-08,Newspapers,"['Barringer, Felicity']",11561,New York Times,NEW YORK,NY,New York Times Company,10018.0,Articles - All Types,English,0.0,A.20,,,,
