"","GOID","topic","gamma"
"1","423968056",1,0.002298192746086
"2","423987935",1,0.00145592578617124
"3","423991776",1,0.494545554871309
"4","424019341",1,0.352610722424835
"5","424018521",1,0.0288454709432744
"6","424019099",1,0.00411237268056019
"7","424026006",1,0.230181671918908
"8","424027746",1,0.438586849377585
"9","424041203",1,0.0687629573020762
"10","424040034",1,0.00094831041504373
"11","424034396",1,0.0368592533624608
"12","424050631",1,0.00392343915650007
"13","424092973",1,0.00753173478505262
"14","424105594",1,0.00400404700655029
"15","424094771",1,0.0234548360717184
"16","424108675",1,0.0327717712851832
"17","424148596",1,0.00755815472118836
"18","424137948",1,0.00941391326037235
"19","424153078",1,0.005634239144144
"20","424162788",1,0.0307764810086709
"21","424235560",1,0.00370744058571218
"22","424274694",1,0.0558126430619649
"23","424264139",1,0.00119273218751388
"24","424269028",1,0.010257528291203
"25","424283194",1,0.00513331767263293
"26","424294832",1,0.0151253273655683
"27","424322469",1,0.0213250657703367
"28","424310511",1,0.00198580408206828
"29","424321598",1,0.0060080073425414
"30","424325098",1,0.00363818932968902
"31","424333150",1,0.0036051221304706
"32","424346767",1,0.000927505076036162
"33","424366259",1,0.000715057794005774
"34","424369931",1,0.00255212410490795
"35","424365689",1,0.0104741217948477
"36","424362537",1,0.0095262448128736
"37","424363639",1,0.00590343813694771
"38","424352048",1,0.00267534800326207
"39","424351210",1,0.00153936322757903
"40","424375445",1,0.00470785084801818
"41","424374934",1,0.0136772432160853
"42","424432330",1,0.00199785278045055
"43","424419453",1,0.00108689371090415
"44","424457227",1,0.00140709231890175
"45","424436625",1,0.0392875363194893
"46","424517639",1,0.0406020258521089
"47","424591427",1,0.00254325928791902
"48","424662628",1,0.00522917789367583
"49","424656832",1,0.00169185518549509
"50","424754360",1,0.00301968712151995
"51","424842890",1,0.00190000808806449
"52","425722412",1,0.0228407079803289
"53","424852231",1,0.00368017993412822
"54","424876804",1,0.00222663961733821
"55","424927357",1,0.00395451903218759
"56","425063159",1,0.00208265452507704
"57","425140329",1,0.00884971921616289
"58","397926157",1,0.00525875407517539
"59","425130792",1,0.00370389257898185
"60","425199619",1,0.0025132895536498
"61","425179910",1,0.0130920735177186
"62","425203436",1,0.000589545205457346
"63","425253329",1,0.000798163843632179
"64","290817978",1,0.001732824864659
"65","292018067",1,0.00130498315800726
"66","425301982",1,0.0342936571697199
"67","292028478",1,0.00289530105301602
"68","290809367",1,0.00146308244834769
"69","292037287",1,0.00420504944261472
"70","292037751",1,0.00422224020216741
"71","292036208",1,0.0189955940356826
"72","292036511",1,0.0051846390837871
"73","292077494",1,0.00308139742871333
"74","292064929",1,0.00238886623340677
"75","425350085",1,0.00593300240629715
"76","290821297",1,0.0403157436758632
"77","292038748",1,0.00713097730871999
"78","292130525",1,0.0062063205877702
"79","292129368",1,0.00258682398240445
"80","292086120",1,0.00281690493829597
"81","292147880",1,0.079414276601254
"82","292093393",1,0.04396930880726
"83","292094642",1,0.00560766139870833
"84","425447319",1,0.00386841493640718
"85","425435965",1,0.00386373422163283
"86","292158069",1,0.101111697867215
"87","290858933",1,0.139742664491566
"88","292164110",1,0.109242158771258
"89","292196923",1,0.0157645083332827
"90","290860585",1,0.000509916906503767
"91","292120682",1,0.00242673218077869
"92","290852696",1,0.000804890641568511
"93","292121473",1,0.161664603018193
"94","292163008",1,0.394105829288542
"95","292203192",1,0.0958169354658577
"96","292180679",1,0.0419429057672491
"97","292148518",1,0.0149097171869774
"98","425552558",1,0.0124285366054634
"99","290889745",1,0.0051741213864477
"100","425715239",1,0.044450713496875
"101","292219589",1,0.078374124300927
"102","425684919",1,0.0998381386798417
"103","425698236",1,0.00461731027924991
"104","425738872",1,0.0714011661547862
"105","425722284",1,0.0239835569637732
"106","425759210",1,0.160475003110814
"107","292205103",1,0.0394931625815039
"108","290897277",1,0.215021928021194
"109","290893085",1,0.00158837205743446
"110","290890498",1,0.181132005785774
"111","292295097",1,0.00410826426296645
"112","425777224",1,0.0907607651416395
"113","290910566",1,0.00208456560739319
"114","292269823",1,0.00124093287548335
"115","292256755",1,0.00130586033694318
"116","397937441",1,0.00263970818328107
"117","292317565",1,0.0249109833977527
"118","292262448",1,0.00267783095739593
"119","397955601",1,0.00223012439860664
"120","425835668",1,0.00149149698671542
"121","292297398",1,0.00266902634637262
"122","292311630",1,0.00542158758016077
"123","425821615",1,0.335848842959714
"124","425825146",1,0.000820619147151879
"125","292335543",1,0.114207719455227
"126","292336619",1,0.112382231054859
"127","292298793",1,0.0576224140039296
"128","290936519",1,0.000792079219515814
"129","292384974",1,0.0894695088599302
"130","292314566",1,0.00695365844883783
"131","290925882",1,0.0879871078226237
"132","292359407",1,0.00289036911849011
"133","292344098",1,0.00200849893081553
"134","290931653",1,0.00132440437555209
"135","292369915",1,0.000593294375174635
"136","290944816",1,0.00243777235883521
"137","425915725",1,0.00442922342308681
"138","290937964",1,0.00504212569567583
"139","292405416",1,0.0248440950686305
"140","292402590",1,0.0424162604348647
"141","292331751",1,0.107703949859
"142","290938795",1,0.0166266028839988
"143","425930811",1,0.0130678604659973
"144","290944489",1,0.0476460018877346
"145","425974191",1,0.00699035807228421
"146","292401062",1,0.100188572518228
"147","290955468",1,0.158239295646551
"148","425962343",1,0.0211538102457894
"149","425958703",1,0.005003709415262
"150","425957255",1,0.0204744799003626
"151","292436168",1,0.0051934111689324
"152","290950210",1,0.00679907003328278
"153","292358698",1,0.0123895043435567
"154","292399795",1,0.0298151357263341
"155","292312864",1,0.00206750000345649
"156","398031028",1,0.0012857230500638
"157","398038917",1,0.00811561251098356
"158","426327280",1,0.13551138929019
"159","292536305",1,0.000963316644914572
"160","292472623",1,0.00353749978221535
"161","292486402",1,0.00181709703705384
"162","306872395",1,0.0212313825832365
"163","292463779",1,0.0021324749567271
"164","292495289",1,0.0154081317398358
"165","426394488",1,0.00641184687716958
"166","292501929",1,0.22624231919489
"167","291002485",1,0.000874523249814887
"168","292524629",1,0.000902301669170656
"169","306866438",1,0.0117246459510842
"170","292665528",1,0.0234942873566549
"171","292509266",1,0.00295408760648149
"172","426466830",1,0.0031367763289969
"173","292502979",1,0.00455734608421542
"174","306886016",1,0.000397900008746547
"175","292704374",1,0.00490799448286524
"176","292703129",1,0.0131704712620306
"177","426477668",1,0.00209534833159651
"178","291018539",1,0.0052898235938238
"179","398002013",1,0.00377098559970248
"180","426470169",1,0.0172173921594832
"181","398000132",1,0.0469650328907871
"182","292683289",1,0.0276863872767461
"183","292485229",1,0.0100699989511693
"184","292502219",1,0.00525202105126026
"185","292535935",1,0.00290084922710014
"186","292638015",1,0.304885152309772
"187","426516216",1,0.0356025196450221
"188","292624613",1,0.325379310826463
"189","292557117",1,0.00173552586484616
"190","292634031",1,0.00355572477061877
"191","292650834",1,0.252753484149358
"192","291054966",1,0.000793048250416088
"193","292601895",1,0.0165137626512262
"194","292715418",1,0.0157055400724811
"195","292621992",1,0.00455894943149711
"196","426581525",1,0.00121861517283485
"197","292618370",1,0.00514540996460038
"198","306907838",1,0.00461424844675302
