"","document","topic","gamma"
"1",2,1,0.838840677490533
"2",15,1,0.634655419151257
"3",35,1,0.439631385955582
"4",55,1,0.839300305008976
"5",83,1,0.996764785123674
"6",93,1,0.692519241759744
"7",95,1,0.676009294245632
"8",109,1,0.339389955796914
"9",148,1,0.977931331252392
"10",153,1,0.454728858394502
"11",169,1,0.998284256511737
"12",188,1,0.996638573172295
"13",190,1,0.610949312262417
"14",226,1,0.770405540572157
"15",238,1,0.884921210894458
"16",249,1,0.702084428768276
"17",258,1,0.559975542446715
"18",275,1,0.593112834660665
"19",279,1,0.45535972430713
"20",287,1,0.630400354152541
"21",293,1,0.74736657351517
"22",312,1,0.325049471803624
"23",3,2,0.914645451150847
"24",5,2,0.996045911470019
"25",6,2,0.997983006114144
"26",16,2,0.956298010674216
"27",17,2,0.758754270534372
"28",22,2,0.734947099473227
"29",32,2,0.947860864945167
"30",40,2,0.990387740848411
"31",46,2,0.50590047451947
"32",67,2,0.997773200899645
"33",81,2,0.965048358909091
"34",82,2,0.853068361488002
"35",97,2,0.95858627047601
"36",119,2,0.556724856331749
"37",132,2,0.869532717095203
"38",134,2,0.511728168390285
"39",150,2,0.519408250334196
"40",157,2,0.616771373771439
"41",170,2,0.659646130728099
"42",173,2,0.81543096092729
"43",194,2,0.960661364856776
"44",195,2,0.988766068395696
"45",203,2,0.854892552473196
"46",222,2,0.643178674885228
"47",230,2,0.821313546146466
"48",234,2,0.985035880716937
"49",244,2,0.868591944751892
"50",252,2,0.995507399412596
"51",259,2,0.977734636635223
"52",270,2,0.490541637149308
"53",273,2,0.848905781594228
"54",280,2,0.986710275422428
"55",289,2,0.508207392835353
"56",295,2,0.993693421101679
"57",296,2,0.72397692702683
"58",315,2,0.792710431075988
"59",1,3,0.977161314660336
"60",4,3,0.79099342245364
"61",9,3,0.969035045689263
"62",12,3,0.539215350845364
"63",25,3,0.9885449143367
"64",31,3,0.812981633283741
"65",38,3,0.995175574504223
"66",41,3,0.617486698035032
"67",48,3,0.837200344337976
"68",51,3,0.784832344592321
"69",53,3,0.814153030518284
"70",60,3,0.810189894525912
"71",63,3,0.639616654018098
"72",65,3,0.402745247913303
"73",73,3,0.5563227407564
"74",75,3,0.990963284649236
"75",84,3,0.524663030668454
"76",90,3,0.704236010168889
"77",100,3,0.649469748284101
