Topic,keywords
0,"animal, wolf, wildlife, year, state, population, fish, bird, kill, park"
1,"wildlife, fish, federal, service, agency, habitat, list, plan, state, year"
2,"federal, wildlife, us, service, fish, protect, list, protection, threaten, court"
3,"water, fish, california, year, river, state, salmon, federal, habitat, plan"
4,"environmental, federal, administration, year, agency, state, house, law, water, government"
5,"california, fish, water, federal, state, wildlife, san, year, service, habitat"
6,"court, state, case, vote, justice, republican, law, judge, federal, house"
7,"bear, alaska, wolf, year, polar, state, fish, grizzly, wildlife, sea"
8,"environmental, year, activist, land, state, group, federal, time, people, make"
9,"am, subc, rhob, pm, dob, approps, office, appropriation, bldg, affair"
