document_id,total_blocks,extracted_text,baseline_esa,baseline_causal,event,story,moral,setting,characters,plot,moral_story,event_summary,event_group,event_explanation
CREC-1995-01-19-pt1-PgE134,4,"Ives, Kenneth Keating, Jacob Javits, Robert Kennedy, Charles Goodell, James Buckley, Alfonse D’Amato and Moynihan. Emory has reported on the administrations of Harry Truman, Dwight Eisenhower, John Kennedy, Lyndon Johnson, Richard Nixon, Gerald Ford, Jimmy Carter, Ronald Reagan and George Bush. Come March, he’ll be dining with Bill Clinton. ‘‘It’s a very exciting prospect,’’ Emory says. In December, Emory was elected president of the Gridiron Club, an association of powerful Washington journalists. Some of his predecessors include David Broder, Helen Thomas, Carl Rowan and Jack Germond. Emory says he can’t remember another reporter from a small newspaper being elected club president. Each March, the Gridiron Club holds an ultra-exclusive white-tie dinner featuring the president, his cabinet, and most of Washington’s top public officials and politicians. Like the Legislative Correspondents Association’s annual show in Albany, the Washington reporters write parodies poking fun at Republicans and Democrats alike. As club president, Emory gets to dine with Clinton and must keep an eye on him throughout the show, the better to report back to the membership on how he reacted to the skits. Clinton gets to deliver a rebuttal following the show. Next year’s speakers also include Moynihan and former Education Secretary Bill Bennett. It’s been a long journey between dinner with the president and Watertown, where Emory first was hired in 1947 after graduating from Columbia University with a master’s degree in journalism. (He attended Harvard University as a undergraduate.) Emory was covering the Dewey administration in Albany when his publisher, John Johnson, called him in August 1951. ‘‘We’re going to raise the price of the paper. We owe the readers something,’’ Emory recalls Johnson telling him, ‘‘How would you like to go to Washington?’’ Emory jumped at the chance. He and his wife, Nancy, packed up and moved south. Shortly after arriving in Washington, they found a house on a lake in a Virginia suburb. They’ve been there ever since, raising three children. They now have four grandchildren as well. He’s traveled with presidents, covered the White House, and written on foreign affairs. But his bread-and-butter is the local, day-today coverage of New York affairs in Washington. The congressional delegation. The St. Lawrence Seaway. The state lobbying office. Politics. Federal decisions as they affect the Empire State. The New York connection has served Emory well. At the 1960 Republican National Convention, Emory got there a few days early and hung out with aides to then-New York Gov. Nelson Rockefeller. They told him that Rockefeller was not going to be nominated for president against Richard Nixon. A national scoop. ‘‘I got the story long, long before anyone else even came close to it,’’ Emory says. Likewise, at the 1968 Republican convention, while waiting to interview with William Miller, the former upstate New York congressman who was Barry Goldwater’s running mate four years earlier, Emory found a poll that showed Nixon being more popular than Rockefeller in New York. The two men were competing for the 1968 Republican presidential nomination. Emory gave his story to the Nixon folks with the stipulation that they agree to credit his newspaper if they used the information. Sure enough,

there was Nixon a few days later, quoting the Watertown Daily Times. Emory spends much of his time chronicling the Watertown-area congressman, John McHugh (R-Pierrepont Manor). McHugh was three years old when Emory first went to Washington. ‘‘I took my first lessons about politics from Alan Emory’s column,’’ McHugh says. ‘‘I’ve read about his experiences and his observations. I finally had a chance to meet with him face-to-face and work with him. It was a thrill for me. To most people in the North Country, Alan Emory is our window on the Capitol.’’ Many regional reporters in Washington move onto greener pastures. They land jobs at larger papers or enter the government. Emory says he has never tired of his job or the Watertown paper. He once had a shot at a bigger paper, but it fell through. Otherwise, he says, he’s never wanted to leave. ‘‘Watertown treats me like a member of the family,’’ he says. He goes on vacation when he wants. He has the time to do projects like Gridiron. The paper was very supportive when he underwent cancer treatment a few years back. One of Emory’s friends, Allan Cromley of the Daily Oklahoman, walks by. ‘‘Don’t believe a word he says,’’ Cromley says. Emory smiles and goes on. ‘‘When people play up to the big metropolitan papers, there’s that frustration,’’ Emory says. ‘‘But there’s a counterweight that comes if you luck into somebody from your neck of the woods who gets way up there.’’ Eisenhower’s press secretary, Jim Haggerty, used to work for Dewey. Nixon’s secretary of state, William Rogers, was a native of St. Lawrence County. Former Central Intelligence Agency chief Allan Dulles was a Watertown native. All became sources for Emory. Others from the North Country have passed through. Former state Sen. Douglas Barclay of Pulaski chaired President Bush’s upstate campaign in 1988 and was named to the Overseas Private Investment Corporation. Former North Country Rep. Robert McEwen was appointed by President Reagan to one of the joint U.S.-Canadian commissions. Former Assistant Education Secretary Donald Laidlaw was an Ogdensburg native. Another official, former Republican National Committee Executive Director Albert (Ab) Herman, had played professional baseball in Watertown. Emory wrote a story about him, and Herman began hearing from old friends long forgotten. ‘‘He was a fabulous political source from then on,’’ Emory recalls. In the 1950s, the federal government used to publish a book listing the home congressional district of numerous federal workers. Anyone hailing from the North Country’s congressional district could expect a call from Emory. ‘‘I would leaf through that book, call them up and do interviews,’’ Emory says. ‘‘These were people nobody had ever been in touch with before. They started getting mail from old neighbors who saw their write-ups in the Watertown Daily Times. Also, it gave me all kinds of contacts. If the individual didn’t have the answer, he could lead me to someone who did.’’ A U.S. senator named Hubert Horatio Humphrey became a source as well. Humphrey and Emory’s mother, Ethel Epstein, served together on the board of the liberal Americans for Democratic Action. Emory lists Humphrey and former Michigan U.S. Sen. Philip Hart as his two favorite politicians. He came to know Hart after an aide to New York U.S. Sen. Herbert Lehman joined the Michigan senator’s staff.

Thursday, January 19, 1995 Mr. BONILLA. Mr. Speaker, today, Congressman CHET EDWARDS and I are introducing the Endangered Species Act moratorium

help put a stop to the current abuses of the Endangered Species Act [ESA]. In its current form the Endangered Species Act—though well intentioned—works contrary to, and often against, one particular species—the human being. Many hardworking ranchers, farmers, and homeowners in Texas have a greater fear of the golden cheeked warbler than they do of tax hikes and tornadoes. In my own hometown of San Antonio, TX, the entire source of water has been held hostage by Federal agencies and courts over a small fish called the fountain darter. This bill is an important first step to allay some of those fears and bring common sense to the ESA process. We in Congress must act and ensure that human beings no longer play second fiddle to spiders and snakes. Specifically, this legislation will suspend the further listing of endangered or threatened species and the designation of new critical habitat until the Endangered Species Act is reauthorized by Congress. The ESA’s authorization expired in 1992. This bill is a realistic vehicle toward reforming the ESA. Passage of this bill compels Congress to consider human factors and bring balance to the ESA when it considers the reauthorization. ESA must be reconstructed with amendments which not only protect the environment, but respect property rights. Protecting property rights does not mean that threatened species cannot be protected. It simply means that human costs should be considered when the ESA is imposed. It also means that Government agencies, such as the Fish and Wildlife Service, should be creative in finding ways to balance these goals, rather than slamming the heavy fist of the Federal bureaucracy down on landowners. The Federal Government should work in concert with the true stewards of the land, instead of threatening them with fines without warning. Please join me in cosponsoring this important legislation. It is long since past the time that we brought sanity and common sense to the ESA process. This legislation will stop current abuses and make possible real reform of the ESA. Thank you.",1,1,introduction of the Endangered Species Act moratorium,"Congressman Chet Edwards and Mr. Bonilla are introducing a moratorium on the Endangered Species Act (ESA) to address perceived abuses of the law that negatively impact human interests, particularly for ranchers, farmers, and homeowners in Texas. They argue that the current ESA prioritizes species protection over human needs, citing specific examples like the golden-cheeked warbler and the fountain darter affecting local water sources. The proposed legislation aims to suspend further species listings and critical habitat designations until the ESA is reauthorized, compelling Congress to consider human factors in future reforms.","The ESA needs to be reformed to balance environmental protection with property rights and human interests, ensuring that the needs of people are not overlooked in favor of species protection.",Congressional hearing,"Congressman Chet Edwards, Congressman Bonilla, Federal agencies, Fish and Wildlife Service, ranchers, farmers, homeowners","Congressman Bonilla and Congressman Chet Edwards introduce a moratorium on the Endangered Species Act (ESA) to address perceived abuses of the Act. They argue that the ESA negatively impacts human interests, particularly in Texas, where local water sources are affected by federal protections for endangered species. The proposed legislation aims to suspend further listings of endangered species and critical habitat designations until the ESA is reauthorized, emphasizing the need for a balance between environmental protection and property rights.","The ESA process needs reform to ensure that human interests are considered alongside environmental protections, advocating for a balanced approach that respects property rights.",ESA moratorium,Legislative Action,The event label 'ESA moratorium' refers to a proposed legislative measure aimed at suspending the further listing of endangered or threatened species and the designation of new critical habitat until the Endangered Species Act is reauthorized by Congress. This clearly fits within the Legislative Action category as it involves a bill introduced in Congress to amend existing ESA policies.
CREC-1995-02-23-pt1-PgH2072,4,"(Mr. SMITH of Texas asked and was given permission to address the House for 1 minute and to revise and extend his remarks.) Mr. SMITH of Texas. Mr. Speaker, I am pleased to join my colleague, Mr. CONDIT, in offering a bipartisan amendment that will extend the Regulatory Transition Act to cover listings and designations of critical habitat under the Endangered Species Act. This amendment is necessary to protect the most endangered species of all, the American landowner. It is time that Congress gave hard-working, taxpaying American families the same rights as blind cave spiders, goldencheeked warblers, and fairy shrimp. Burdensome regulations imposed under the Endangered Species Act are reducing our landowners, farmers, and small business owners to a rare breed. This year, Congress has the opportunity to amend the Endangered Species Act to balance the rights of landowners. Until Congress reauthorizes the Endangered Species Act, we must put a stop to the out-of-control regulators and protect American property owners. Later today, we will offer a bipartisan

moratorium on Endangered Species Act listings and critical habitat designations. I urge my colleagues to support the bipartisan Condit amendment.

(Mr. HOSTETTLER asked and was given permission to address the House for 1 minute and to revise and extend his remarks.) Mr. HOSTETTLER. Mr. Speaker, I rise in support of the Regulatory Transition Act. Mr. Speaker, there is a frantic effort underway on the part of the administration to frighten the American public and this body about what those of us who would protect private property rights are trying to do. For years, Big Government has disseminated the message that the public needs of Washington, DC, to take care of it—that without Washington, DC, no one will look out for its health and well-being; that without Washington, DC, no one will protect its clean air and clean water; that without Washington, DC, no one will know what to do because only Washington, DC, knows what’s good. Something may sound ridiculous but, as the message goes, it’s coming from Washington, DC, so it must be a smart idea, because after all, doesn’t Washington, DC, know best? There was a different message sent in the last election. Washington, DC, doesn’t know best. Regulation after regulation comes down the pikemicromanaging every facet of the daily lives of individuals and the daily operations of businesses. The people said, ‘‘Enough.’’ The administration responded by preparing some 4,300 new regulations to get through under the closing door. If we are truly representing the American people, we must keep this from happening. The administration is trying to send a message that life as we know it will fall apart if these regulations don’t get through. That is an unfortunate scare tactic. But let’s show everybody concerned that the regulatory monster isn’t vital to our existence, but it actually threatens our way of life as we know it. Let’s cast a vote for smaller, smarter Government and defy those who are trying to scare the American public and this body into continuing with business as usual.

According to Timothy Mescon, dean of Kennesaw State College, political and academic resources were commingled in the preparation of the course he cotaught with Speaker GINGRICH. This led Dean Mescon to admit to the Los Angeles Times this week that ‘‘In hindsight, we would never do this again. There’s no question about that * * * I feel horrendous about this thing, and it’s embarrassing.’’ Lois Kubal, a graduate student involved in the design of Speaker GINGRICH. This led Dean Mescon to admit to the Los Angeles Times this week that ‘‘In hindsight, we would never do this again. There’s no question about that * * * I feel horrendous about this thing, and it’s embarrassing.’’ Lois Kubal, a graduate student involved in the design of Speaker GINGRICH’s so-called course, says that ‘‘the class at KSC was intended to be partisan and very political.’’ Even more disturbing, course content was sold to corporate sponsors. According to a request for funding, potential donors were promised they could participate or work directly with the leadership of the project in the course development process in exchange for their $25,000 or $50,000 check. This is how the course is taught, the game is played, at Newt University. Mr. Speaker, the charges keep piling up. We need an outside, independent, counsel to investigate the serious ethical charges hanging over the head of the Speaker of the House, and we need one now.",1,1,bipartisan amendment to extend the Regulatory Transition Act to cover listings and designations of critical habitat under the Endangered Species Act,"Mr. Smith of Texas and Mr. Condit are proposing an amendment to the Regulatory Transition Act to protect landowners by addressing the burdensome regulations of the Endangered Species Act. They argue that these regulations are harming American families and businesses, and they seek to balance the rights of landowners with species protections. They plan to introduce a bipartisan moratorium on ESA listings and critical habitat designations to halt what they perceive as excessive regulatory actions.","Congress should amend the Endangered Species Act to protect landowners' rights and reduce regulatory burdens, ensuring a balance between environmental protections and property rights.",House of Representatives,"Mr. SMITH of Texas, Mr. CONDIT, Mr. HOSTETTLER, Congress, American landowners, farmers, small business owners, administration","Mr. SMITH and Mr. CONDIT propose a bipartisan amendment to extend the Regulatory Transition Act to cover listings and critical habitat designations under the Endangered Species Act. They argue that the current regulations are burdensome to landowners and call for a moratorium on ESA listings and designations. Mr. HOSTETTLER supports this amendment, criticizing the administration's regulatory approach and advocating for property rights.","The amendment aims to balance the rights of landowners with environmental protections, suggesting that current regulations under the ESA are overly restrictive and detrimental to private property rights.",moratorium proposal,Regulatory / Agency Action,The event label 'moratorium proposal' directly relates to a proposed administrative action to halt listings and critical habitat designations under the Endangered Species Act. This fits within the Regulatory / Agency Action category as it involves a proposed change to the implementation of ESA regulations.
