Unnamed..0,GOID,Title,Date,Text,cleaned_text,baseline_esa,baseline_causal,event,story,moral,setting,characters,plot,moral_story,event_type,moral_direction
0,398449801,Regulators' pact with Weyerhaeuser allows logging in spotted-owl habitat,1995-02-13,federal wildlife regulator agree plan assure log acre spot owl country agreement late several strike government private landowner deal collision federal nation most sweeping conservation law private property right so call habitat conservation plan work agree limit clear cut employ other log method consider less damaging owl habitat company tract agreement force as long year expect announce today base own roughly acre forest company also agree design log pattern way leave corridor large old tree owl use move land surround federally own old growth grove spot owl protect federal law typically nest ancient forest fir redwood other giant tree return company large private timberland owner say able log relatively high volume presence spot owl spokesman say agreement ensure supply company mill employ about people several other local area mill numerous big timber company strike similar agreement negotiate government ensure ability log owl other protect specie land example enter habitat conservation plan land home protect woodpecker negotiation extensive plan land administration believe plan show act flexible enough accommodate economic interest private landowner still protect wildlife flexibility central administration effort defuse grow campaign court gut law opponent law gain strength recent election say exact too high toll commerce private property right expect few month issue landmark ruling act enforceability private land environmentalist divide habitat conservation plan likely criticize aspect agreement environmentalist concerned long term agreement limited ability modify other specie forest gain federal protection new environmental threat arise log credit,federal wildlife regulator agree plan assure log acre spot owl country agreement late several strike government private landowner deal collision federal nation most sweeping conservation law private property right so call habitat conservation plan work agree limit clear cut employ other log method consider less damaging owl habitat company tract agreement force as long year expect announce today base own roughly acre forest company also agree design log pattern way leave corridor large old tree owl use move land surround federally own old growth grove spot owl protect federal law typically nest ancient forest fir redwood other giant tree return company large private timberland owner say able log relatively high volume presence spot owl spokesman say agreement ensure supply company mill employ about people several other local area mill numerous big timber company strike similar agreement negotiate government ensure ability log owl other protect land example enter habitat conservation plan land home protect woodpecker negotiation extensive plan land administration believe plan show flexible enough accommodate economic interest private landowner still protect wildlife flexibility central administration effort defuse grow campaign court gut law opponent law gain strength recent election say exact too high toll commerce private property right expect few month issue landmark ruling enforceability private land environmentalist divide habitat conservation plan likely criticize aspect agreement environmentalist concerned long term agreement limited ability modify other forest gain federal protection new environmental threat arise log credit,1,0,agreement on habitat conservation plan,"Federal wildlife regulators and a private landowner reached an agreement to implement a habitat conservation plan that allows logging while protecting the habitat of the spotted owl. The plan limits clear-cutting and employs less damaging logging methods, ensuring the company can log while maintaining corridors for the owls. This agreement is part of a broader effort to balance economic interests with wildlife protection under the Endangered Species Act.","The habitat conservation plan demonstrates that it is possible to accommodate economic interests of private landowners while still protecting endangered species, suggesting that flexible regulatory approaches can be beneficial.",federal wildlife regulatory process,"federal regulators, private landowners, timber companies, environmentalists","Federal wildlife regulators agree on a habitat conservation plan with private landowners to allow logging while protecting the spotted owl's habitat. The plan limits clear-cutting and employs less damaging logging methods. The agreement is expected to ensure a steady supply of timber while accommodating economic interests. However, environmentalists express concerns about the long-term implications and the limited ability to modify the agreement in response to new environmental threats.","The balance between economic interests and wildlife protection is complex, and flexibility in conservation plans is essential to address evolving environmental challenges.",Habitat,Pro-protection
1,398992060,Conservationists' 'Bogeyman'; Congressman Pombo Pushes Environmental Conservatism,2006-01-21,last year staff consider sell national park monument preserve historical site naming right visitor center hike trail corporate bidder flamboyant idea raise more federal revenue later withdraw bipartisan criticism late string maneuver vault public enemy no . many environmental group chairman powerful far reach oversight nation public land use position bully pulpit push agenda environmental conservatism just few short year year old become leader roll back environmental regulation time like minded republican conservative power apart contemplate selloff national park site recently try overhaul privatize vast government land open protect coast wilderness more drilling often sport cowboy hat boot openly chastise environmental group radical extreme reaction call most frightening man recently hand mask onetime rancher give % rating term often vote align environmentalist low politician just absolute tear try tear conservation law say president environmental group deny antienvironment rather say environmentalist try use bogeyman say interview need bogeyman help raise money hot water only environmentalist past year come attack alleged ethic violation office lobby ease wind- energy farm guideline same time parent run ranch wind turbine accord nonpartisan government watchdog group group also question tie republican lobbyist recently plead guilty felony agree help prosecutor investigate political corruption accept campaign contribution decline committee join other federal investigation allege influence peddling lobbyist official watchdog group say say staffer write wind turbine letter official knowledge add voluntary guideline new windmill exist one parent ranch add first time aware contribute campaign read newspaper spokesman congressman say return surprisingly many defender business host bash call feature mechanical bull country western music left wing all hot bother effectiveness lack willingness pander liberal pet cause write chief economist last year op ed piece hometown paper political career begin elect city councilman fast grow suburb east year later unseat incumbent congressman district begin term run say enter politic rein government regulation believe harm property right landowner regard many protege then name chairman powerful jump committee member great seniority protest resign committee critic accuse use friendship gain job say convince other member most qualified lay agenda want say much agenda focus make easy business individual operate public land last year co - author bill revise restrict so many land use area threaten animal live bill pass last fall pass environmentalist say bill strip key provision law allow government establish large area habitat recovery endangered creature say act success rate so low specie recover list protection system need change law work cause huge amount conflict say advocate more local management wildlife say work successfully african country visit mixed success other initiative instrumental pass help democratic act open more forest federal land log way other supporter bill say make easy clear forest dangerous fuel load environmentalist decry bill giveaway timber interest unable pass mining provision tack budget bill break lift moratorium sell federal land people prove mining claim say provision open only about acre western wild land possible sale about acre many environmental group interpret provision more far reaching environmentalist many democratic ally say plan make main republican target midterm election even moderate talk take handily win most election district say worried vulnerable say office adorn buffalo skull just go keep do thing always do,last year staff consider sell national park monument preserve historical site naming right visitor center hike trail corporate bidder flamboyant idea raise more federal revenue later withdraw bipartisan criticism late string maneuver vault public enemy no many environmental group chairman powerful far reach oversight nation public land use position bully pulpit push agenda environmental conservatism just few short year year old become leader roll back environmental regulation time like minded republican conservative power apart contemplate selloff national park site recently try overhaul privatize vast government land open protect coast wilderness more drilling often sport cowboy hat boot openly chastise environmental group radical extreme reaction call most frightening man recently hand mask onetime rancher give rating term often vote align environmentalist low politician just absolute tear try tear conservation law say president environmental group deny antienvironment rather say environmentalist try use bogeyman say interview need bogeyman help raise money hot water only environmentalist past year come attack alleged ethic violation office lobby ease wind energy farm guideline same time parent run ranch wind turbine accord nonpartisan government watchdog group group also question tie republican lobbyist recently plead guilty felony agree help prosecutor investigate political corruption accept campaign contribution decline committee join other federal investigation allege influence peddling lobbyist official watchdog group say say staffer write wind turbine letter official knowledge add voluntary guideline new windmill exist one parent ranch add first time aware contribute campaign read newspaper spokesman congressman say return surprisingly many defender business host bash call feature mechanical bull country western music left wing all hot bother effectiveness lack willingness pander liberal pet cause write chief economist last year op ed piece hometown paper political career begin elect city councilman fast grow suburb east year later unseat incumbent congressman district begin term run say enter politic rein government regulation believe harm property right landowner regard many protege then name chairman powerful jump committee member great seniority protest resign committee critic accuse use friendship gain job say convince other member most qualified lay agenda want say much agenda focus make easy business individual operate public land last year co author bill revise restrict so many land use area threaten animal live bill pass last fall pass environmentalist say bill strip key provision law allow government establish large area habitat recovery endangered creature say success rate so low recover list protection system need change law work cause huge amount conflict say advocate more local management wildlife say work successfully african country visit mixed success other initiative instrumental pass help democratic open more forest federal land log way other supporter bill say make easy clear forest dangerous fuel load environmentalist decry bill giveaway timber interest unable pass mining provision tack budget bill break lift moratorium sell federal land people prove mining claim say provision open only about acre western wild land possible sale about acre many environmental group interpret provision more far reaching environmentalist many democratic ally say plan make main republican target midterm election even moderate talk take handily win most election district say worried vulnerable say office adorn buffalo skull just go keep do thing always do,0,0,co-authoring a bill to revise land use restrictions affecting endangered species,"A powerful committee chairman, with a history of opposing environmental regulations, co-authors a bill that aims to revise land use restrictions, which environmentalists argue will strip key provisions of the Endangered Species Act and allow for the establishment of large areas for habitat recovery for endangered species. This action is seen as a way to benefit business interests at the expense of wildlife protections.","The bill undermines essential protections for endangered species and prioritizes business interests over environmental conservation, indicating a need for stronger safeguards and local management of wildlife.",Congressional hearing and federal regulatory process regarding land use and environmental policy.,"Environmental groups, Republican legislators, federal officials, lobbyists, and a congressman.","A congressman, who has a history of opposing environmental regulations, co-authors a bill that revises land use restrictions, which environmentalists argue strips key provisions for protecting endangered species. The bill passes despite opposition, and there are concerns about its implications for wildlife recovery and habitat protection. The congressman faces criticism for potential ethical violations and ties to lobbyists, while environmentalists mobilize against the bill, fearing it will lead to increased exploitation of public lands.",The ongoing conflict between economic interests and environmental protection highlights the challenges of balancing land use policies with the need to conserve endangered species and their habitats.,Legislation,Pro-protection
2,399026053,The Evening Wrap: Asian Aftershock,2006-12-28,magnitude quake shake late first fear tremor trigger tsunami second anniversary wave kill people nature spare life time as kind technology temblor cut several undersea fiber optic cable carry communication traffic key nexus connect ultimately phone service spotty slow just plain unavailable several country region mark large such outage year interruption also affect trader platform knock line client log trade get real time datum asian market little affect overall most company find workaround still wide scope disruption cause single natural disaster limited physical damage illustrate vulnerable system support global communication nearly datum travel continent so fiber optic filament tiny thread glass bundle together cover insulation other protective material company stretch cable thousand mile ocean rest sea floor float cable easy dislodge fishing boat cut then only undersea cable line summer disrupt company internet service day cable damage week run especially dense pathway large disruption possible cluster together handful key hub instance key point southern part problem global investment fiber optic line fall 1990 telecommunication company lay huge amount anticipation explosion demand growth happen as quickly expect company hammer financially even go bankrupt week incident raise question need new wave investment cable say chairman telecom consultancy base outage even trickle region shipping logistic industry managing director base say unable reach client try other way communicate much work say continue several day operation overseas essentially stop say top first time gain more point year end run continue strong than- forecast housing report fall oil price More stock advance decline trading thin typically slow final week year fund manager add stock portfolio trend often give stock boost late european share rise help fall oil price hit new month high rev gain year fall yield % light sweet crude oil slide cent barrel housing slump dark cloud hang economy go new year datum today emit ray hope report new home sale climb % rise third time month beat economist expectation % increase monthly report also show decline inventory rise median price home sale still down % same period mark 11th straight monthly year year decline economist still take heart no doubt report boost mild weather part country pickup sale decline number home sale provide far tentative evidence housing market stabilize economist write remember flag fly half staff honor former die last night speak ranch say always admire unflinche performance duty honorable conduct administration great rectitude man funeral arrangement announce today next week tradition stock exchange close day funeral look consider hire outside firm oversee system integration next generation navigational satellite accord industry government official major policy decision multibillion dollar ramification official already say intend award separate manufacturing contract new version satellite relate ground facility break traditional acquisition strategy senior general also mull hire private expert supervise integration overall system hire separate project integrator tacit acknowledgement massive weapon buy bureaucracy lack necessary expertise perform require oversight role farewell letter post internet name call hate invader country call hate hate leave space person fair make blind close door thinking say letter supposedly write give opportunity speak sentence deliver lawyer say letter authentic meanwhile iraqi presidential spokesman say appeal court order yesterday uphold death sentence require iraqi president approval former dictator other legal mean avoid execution say hang immediately other fear bloodletting escalate former dictator execute time sectarian attack already rise troop close in somali government troop drive islamic movement fighter last major town road capital ethiopian force cross border reinforce internationally recognize somali government militia seize go take much southern militia seem invincible capture capital match strong military somali government spokesman confirm talk peaceful surrender way attack hope fall hand fire shot unconfirmed report estimate as many people die wound fighting begin few day ago propose list polar bear threaten specie say global warming cause sea ice primary habitat bear melt dangerous rate proposal mark potentially significant departure administration cautious rhetoric effect global warming say oil natural gas drilling region blame recede ice silent actually cause warm temperature plan take comment proposal effort make decision month list bear endanger more backdate fallout backdate question bogge more company revise several year worth financial statement say former ceo retroactively price option accord amend report file resign last month misprice option retain talent provide employee good option price meanwhile say initiate further review option grant practice article state ceo highest pay executive history company say initial review stock option practice go back suggest reason question propriety option grant practice result disappoint spree last minute shopper enough save shopping season retailer report retail sale week end rise % surge spending bring total holiday sale relatively close original projection recent shortfall sale total make second big holiday shopping day year survey release put number much low figure show chain store sale week end rise % compare year ago period put season subtotal track hit low end expectation study safety hygiene practice often overlook doctor almost wipe dangerous type bloodstream infection kill thousand patient year hospital accord new study simple step include make sure doctor nurse wash hand wear protective clothing study publish tomorrow focus central line catheter deliver drug nutrition patient major vein neck chest groin researcher examine hospital agree use safety procedure intensive care unit catheter most commonly use exotic dancer look topless truth thin layer latex fine point anatomy stripper broker deal state comply strict anti - nudity law settlement adult nightclub attorney general office dancer statewide spritz buttock breast flesh color latex law say skin normally cover modest bikini swathe opaque covering law specify type material so legal sense nylon swimsuit spray latex same state reluctantly go club virtually invisible latex bikinis rather have federal judge follow threat throw entire statute unconstitutional choice face covering covering say chief deputy attorney general decide well covering at all write,magnitude quake shake late first fear tremor trigger tsunami second anniversary wave kill people nature spare life time as kind technology temblor cut several undersea fiber optic cable carry communication traffic key nexus connect ultimately phone service spotty slow just plain unavailable several country region mark large such outage year interruption also affect trader platform knock line client log trade get real time datum asian market little affect overall most company find workaround still wide scope disruption cause single natural disaster limited physical damage illustrate vulnerable system support global communication nearly datum travel continent so fiber optic filament tiny thread glass bundle together cover insulation other protective material company stretch cable thousand mile ocean rest sea floor float cable easy dislodge fishing boat cut then only undersea cable line summer disrupt company internet service day cable damage week run especially dense pathway large disruption possible cluster together handful key hub instance key point southern part problem global investment fiber optic line fall 1990 telecommunication company lay huge amount anticipation explosion demand growth happen as quickly expect company hammer financially even go bankrupt week incident raise question need new wave investment cable say chairman telecom consultancy base outage even trickle region shipping logistic industry managing director base say unable reach client try other way communicate much work say continue several day operation overseas essentially stop say top first time gain more point year end run continue strong than forecast housing report fall oil price more stock advance decline trading thin typically slow final week year fund manager add stock portfolio trend often give stock boost late european share rise help fall oil price hit new month high rev gain year fall yield light sweet crude oil slide cent barrel housing slump dark cloud hang economy go new year datum today emit ray hope report new home sale climb rise third time month beat economist expectation increase monthly report also show decline inventory rise median price home sale still down same period mark 11th straight monthly year year decline economist still take heart no doubt report boost mild weather part country pickup sale decline number home sale provide far tentative evidence housing market stabilize economist write remember flag fly half staff honor former die last night speak ranch say always admire unflinche performance duty honorable conduct administration great rectitude man funeral arrangement announce today next week tradition stock exchange close day funeral look consider hire outside firm oversee system integration next generation navigational satellite accord industry government official major policy decision multibillion dollar ramification official already say intend award separate manufacturing contract new version satellite relate ground facility break traditional acquisition strategy senior general also mull hire private expert supervise integration overall system hire separate project integrator tacit acknowledgement massive weapon buy bureaucracy lack necessary expertise perform require oversight role farewell letter post internet name call hate invader country call hate hate leave space person fair make blind close door thinking say letter supposedly write give opportunity speak sentence deliver lawyer say letter authentic meanwhile iraqi presidential spokesman say appeal court order yesterday uphold death sentence require iraqi president approval former dictator other legal mean avoid execution say hang immediately other fear bloodletting escalate former dictator execute time sectarian attack already rise troop close in somali government troop drive islamic movement fighter last major town road capital ethiopian force cross border reinforce internationally recognize somali government militia seize go take much southern militia seem invincible capture capital match strong military somali government spokesman confirm talk peaceful surrender way attack hope fall hand fire shot unconfirmed report estimate as many people die wound fighting begin few day ago propose list polar bear threaten say global warming cause sea ice primary habitat bear melt dangerous rate proposal mark potentially significant departure administration cautious rhetoric effect global warming say oil natural gas drilling region blame recede ice silent actually cause warm temperature plan take comment proposal effort make decision month list bear more backdate fallout backdate question bogge more company revise several year worth financial statement say former ceo retroactively price option accord amend report file resign last month misprice option retain talent provide employee good option price meanwhile say initiate further review option grant practice article state ceo highest pay executive history company say initial review stock option practice go back suggest reason question propriety option grant practice result disappoint spree last minute shopper enough save shopping season retailer report retail sale week end rise surge spending bring total holiday sale relatively close original projection recent shortfall sale total make second big holiday shopping day year survey release put number much low figure show chain store sale week end rise compare year ago period put season subtotal track hit low end expectation study safety hygiene practice often overlook doctor almost wipe dangerous type bloodstream infection kill thousand patient year hospital accord new study simple step include make sure doctor nurse wash hand wear protective clothing study publish tomorrow focus central line catheter deliver drug nutrition patient major vein neck chest groin researcher examine hospital agree use safety procedure intensive care unit catheter most commonly use exotic dancer look topless truth thin layer latex fine point anatomy stripper broker deal state comply strict anti nudity law settlement adult nightclub attorney general office dancer statewide spritz buttock breast flesh color latex law say skin normally cover modest bikini swathe opaque covering law specify type material so legal sense nylon swimsuit spray latex same state reluctantly go club virtually invisible latex bikinis rather have federal judge follow threat throw entire statute unconstitutional choice face covering covering say chief deputy attorney general decide well covering at all write,0,0,proposal to list polar bear as threatened due to global warming,"The administration proposes to list the polar bear as a threatened species, citing global warming as the cause of melting sea ice, which is the bear's primary habitat. This proposal marks a significant shift from the administration's previously cautious rhetoric regarding the effects of global warming and the implications for oil and natural gas drilling in the region.","The policy should prioritize the protection of endangered species like the polar bear, acknowledging the urgent threats posed by climate change and the need for proactive measures to safeguard their habitats.",regulatory process regarding species listing,"administration officials, environmental groups","A proposal is made to list the polar bear as endangered due to global warming causing the melting of its primary habitat, which marks a significant departure from the administration's previous cautious rhetoric on global warming and its effects.",The decision to list the polar bear highlights the urgent need to address climate change and its impact on vulnerable species.,Listing,Pro-protection
3,398673780,"High Court to Examine HMOs' Liability In Cases of Cost Cuts, Patients' Health",1999-09-29,step debate huge stake manage care company agree determine legal liability provider accuse cut cost expense patient health case justice add docket year prepare term begin next week other case range exceed authority pass violence deny tax deduction corporation headquarters there court also decide limit activity certain antiabortion activist abortion clinic operate colon cancer week ago return home yesterday participate decide case take court spokesman say statement court indicate medical prognosis appear good lymph node prove negative cancer metastasis evident statement say manage care case claim hold cost doctor health maintenance organization run delay treat appendicitis other legal action sue doctor law govern employee pension health plan charge delay motivate desire save money rather act patient good interest mandate appeal court rule lawsuit go forward agree reshape landscape say lawyer defendant case fundamental assumption now create incentive save money provide health care affordable say attorney represent appeal court right know hard press survive violence case justice review lawsuit bring former student claim rape football player case give high court opportunity once again examine scope clause past half century give federal government authority extend reach civil right high court first time 1930 reverse extension rule exceed power regulate interstate commerce law ban gun school now court use violence establish gender base violence federal crime far define view far go regulate noneconomic activity clause tax case bring unit base claim deny tax deduction interest expense certain company operate base there violate clause uphold then other state amount double tax income say attorney office justice also decide constitutionality law make criminal offense counsel protest communicate foot person foot abortion clinic case bring so call sidewalk counselor offer alternative action woman way abortion clinic case bring such counselor contend state statute violate free speech right burden speaker duty obtain consent communicate public state attorney general counter protestor abortion clinic often block facility harass patient case try spell year statute limitation begin income tax refund low court deny request tax credit former mailroom worker overpayment make file tax return year statute limitation refund argue statute limitation start file return say clock start tick tax pay credit,step debate huge stake manage care company agree determine legal liability provider accuse cut cost expense patient health case justice add docket year prepare term begin next week other case range exceed authority pass violence deny tax deduction corporation headquarters there court also decide limit activity certain antiabortion activist abortion clinic operate colon cancer week ago return home yesterday participate decide case take court spokesman say statement court indicate medical prognosis appear good lymph node prove negative cancer metastasis evident statement say manage care case claim hold cost doctor health maintenance organization run delay treat appendicitis other legal action sue doctor law govern employee pension health plan charge delay motivate desire save money rather patient good interest mandate appeal court rule lawsuit go forward agree reshape landscape say lawyer defendant case fundamental assumption now create incentive save money provide health care affordable say attorney represent appeal court right know hard press survive violence case justice review lawsuit bring former student claim rape football player case give high court opportunity once again examine scope clause past half century give federal government authority extend reach civil right high court first time 1930 reverse extension rule exceed power regulate interstate commerce law ban gun school now court use violence establish gender base violence federal crime far define view far go regulate noneconomic activity clause tax case bring unit base claim deny tax deduction interest expense certain company operate base there violate clause uphold then other state amount double tax income say attorney office justice also decide constitutionality law make criminal offense counsel protest communicate foot person foot abortion clinic case bring so call sidewalk counselor offer alternative action woman way abortion clinic case bring such counselor contend state statute violate free speech right burden speaker duty obtain consent communicate public state attorney general counter protestor abortion clinic often block facility harass patient case try spell year statute limitation begin income tax refund low court deny request tax credit former mailroom worker overpayment make file tax return year statute limitation refund argue statute limitation start file return say clock start tick tax pay credit,0,0,NA,NA,NA,NA,NA,NA,NA,Other,Other
4,398811458,E-Business: Cellular Towers Get Static From Environmentalists,2001-07-23,environmentalist hope prevent construction cellphone tower wetland target tower slate rise scenic group take aim plan eco sensitive floodplain year wireless industry find assault community group municipal official try install new tower group complain aesthetic allege health risk giant steel pole now industry face new enemy environmental group complain ecological impact most ubiquitous symbol already require wireless company submit environmental impact study tower application examine factor range tower electromagnetic emission structure impact surround wildlife vegetation group argue review go far enough hundred tower erect year environmentalist complain yet study cumulative effect ecologically fragile area group cite government private sector study show million bird bat hurt kill year collide tower figure industry say exaggerated group also say vegetation animal habitat wetland floodplain area damage company fall tree string power communication line build access road other infrastructure support tower group bitter high stake lobby war threaten damage phone company ability expand network say necessary attract new customer provide well service existing one nationwide industry race build hundred additional tower pave way roll new wireless service such high speed mobile internet access pair environmental group here file dozen petition recent month ask deny about tower application agency conduct further environmental study group friend also ask hold award other permit tower ecologically sensitive area agency assess cumulative enviromental impact tower dot american landscape review easily take more year spokesman say agency review petition decline comment far decision delay approve tower heart environmentalist petition costly extra month deliberation company figure cost nearly tower lose revenue decision impose strict environmental standard future tower application catastrophic industry capacity carry call already stretch breaking point surge demand very serious dampening effect wireless technology deployment say analyst here right now put fairly high level drop call fix additional spectrum additional tower get more spectrum tower become even more important environmental assault represent late front war cellphone tower structure large usually about foot tall highly unpopular many area other opponent argue electromagnetic radiation pose health risk even federal law say emission consider factor decide build tower contend structure eyesore depress property value surround neighborhood wireless company say conclusive datum prove cell tower cause health problem insist try responsive community aesthetic concern approach see company build so call stealth tower design look else church country cell tower disguise steeple bell carillon light pole many high school football stadium actually wireless signal transmitter other tower disguised look tree grass root campaign cell tower success environmental group choose different tack rather ask local official say individual tower environmental group take case directly hope get agency reject dozen tower application fell swoop try nationalize fight rage individual city state say staff attorney friend action suppose govern various federal environmental law readily apparent law follow fully case follow at all fight quietly rage year often pit different branch government other then director tell then tower kill least bird year ask agency track cumulative ecological impact tower say build almost environmental oversight turn request environmentalist face even steep odd now control staunch believer deregulation free market official several wireless company scoff environmentalist claim already fairly stringent environmental assessment say engineer joint venture take stuff seriously assure too indeed say big environmental problem company face guano bird nest tower bird get comfortable out there say none engineer want get that close tower mean well service close home allow tall cellphone tower participate question day online wsj.com/question see related article % cellphone carrier install rove still issue credit,environmentalist hope prevent construction cellphone tower wetland target tower slate rise scenic group take aim plan eco sensitive floodplain year wireless industry find assault community group municipal official try install new tower group complain aesthetic allege health risk giant steel pole now industry face new enemy environmental group complain ecological impact most ubiquitous symbol already require wireless company submit environmental impact study tower application examine factor range tower electromagnetic emission structure impact surround wildlife vegetation group argue review go far enough hundred tower erect year environmentalist complain yet study cumulative effect ecologically fragile area group cite government private sector study show million bird bat hurt kill year collide tower figure industry say exaggerated group also say vegetation animal habitat wetland floodplain area damage company fall tree string power communication line build access road other infrastructure support tower group bitter high stake lobby war threaten damage phone company ability expand network say necessary attract new customer provide well service existing one nationwide industry race build hundred additional tower pave way roll new wireless service such high speed mobile internet access pair environmental group here file dozen petition recent month ask deny about tower application agency conduct further environmental study group friend also ask hold award other permit tower ecologically sensitive area agency assess cumulative enviromental impact tower dot american landscape review easily take more year spokesman say agency review petition decline comment far decision delay approve tower heart environmentalist petition costly extra month deliberation company figure cost nearly tower lose revenue decision impose strict environmental standard future tower application catastrophic industry capacity carry call already stretch breaking point surge demand very serious dampening effect wireless technology deployment say analyst here right now put fairly high level drop call fix additional spectrum additional tower get more spectrum tower become even more important environmental assault represent late front war cellphone tower structure large usually about foot tall highly unpopular many area other opponent argue electromagnetic radiation pose health risk even federal law say emission consider factor decide build tower contend structure eyesore depress property value surround neighborhood wireless company say conclusive datum prove cell tower cause health problem insist try responsive community aesthetic concern approach see company build so call stealth tower design look else church country cell tower disguise steeple bell carillon light pole many high school football stadium actually wireless signal transmitter other tower disguised look tree grass root campaign cell tower success environmental group choose different tack rather ask local official say individual tower environmental group take case directly hope get agency reject dozen tower application fell swoop try nationalize fight rage individual city state say staff attorney friend action suppose govern various federal environmental law readily apparent law follow fully case follow at all fight quietly rage year often pit different branch government other then director tell then tower kill least bird year ask agency track cumulative ecological impact tower say build almost environmental oversight turn request environmentalist face even steep odd now control staunch believer deregulation free market official several wireless company scoff environmentalist claim already fairly stringent environmental assessment say engineer joint venture take stuff seriously assure too indeed say big environmental problem company face guano bird nest tower bird get comfortable out there say none engineer want get that close tower mean well service close home allow tall cellphone tower participate question day online wsj com question see related article cellphone carrier install rove still issue credit,0,0,Environmental group files petitions to deny tower applications and request further environmental studies.,"Environmentalists are mobilizing against the construction of cellphone towers in ecologically sensitive areas, arguing that the cumulative ecological impact has not been adequately assessed. They are attempting to influence local officials and federal agencies to reject tower applications, citing potential harm to wildlife and the environment. The wireless industry, facing pressure from these groups, claims that their environmental assessments are sufficient and that the concerns raised are exaggerated.","Stricter environmental standards and thorough assessments are necessary to protect fragile ecosystems from the impacts of new construction, particularly in sensitive areas.",regulatory process regarding the construction of cellphone towers in ecologically sensitive areas,"environmental groups, wireless industry, municipal officials, federal agencies, courts","Environmental groups are opposing the construction of cellphone towers in wetlands, citing aesthetic concerns and health risks. They argue that the cumulative ecological impact of these towers has not been adequately assessed. The wireless industry is racing to build new towers to meet demand but faces delays due to environmental petitions. The situation has led to a conflict between the need for infrastructure and environmental protections, with the potential for litigation and regulatory scrutiny.","The balance between technological advancement and environmental protection is complex, highlighting the need for thorough assessments and community involvement in regulatory processes.",Petition,Pro-protection
5,398577733,House panel agrees to end ban on drilling,1995-06-21,key panel agree end year old moratorium oil gas drilling most coastline set stage floor battle coming month provision breeze subcommittee less minute debate draw immediate criticism coalition more congressional action mistake part say yesterday ban also enjoy strong support expect partake effort keep alive congressional vote lift ban however only partially clear way oil company drill area such eastern coast permission drilling still require approval administration unlikely administration supporter ban argue change party make future drilling more likely move end drilling ban emerge most controversial segment subcommittee measure cut natural resource spend last year level expect same subcommittee also agree yesterday broad array step cut spending eliminate agency environmental natural resource program bill eliminate federal agency such as well nearly program area mining indian affair also extend moratorium list new wildlife plant cut energy program about % other hand bill provide slight increase operational fund fact lifting ban make far illustrate clout oil industry control spending bill also show momentum effort cut federal spending wide array cut elimination committee make only token effort restore funding save program few effort save agency come offer amendment save however quickly brush effort aside go start downsize take agency truly dynamic impact phase say also move step close cut current funding energy water program full last evening essentially rubber stamp subcommittee previous recommendation energy water measure now move full vote cut solar renewable energy funding half preserve funding elsewhere more basic science research credit,key panel agree end year old moratorium oil gas drilling most coastline set stage floor battle coming month provision breeze subcommittee less minute debate draw immediate criticism coalition more congressional action mistake part say yesterday ban also enjoy strong support expect partake effort keep alive congressional vote lift ban however only partially clear way oil company drill area such eastern coast permission drilling still require approval administration unlikely administration supporter ban argue change party make future drilling more likely move end drilling ban emerge most controversial segment subcommittee measure cut natural resource spend last year level expect same subcommittee also agree yesterday broad array step cut spending eliminate agency environmental natural resource program bill eliminate federal agency such as well nearly program area mining indian affair also extend moratorium list new wildlife plant cut energy program about other hand bill provide slight increase operational fund fact lifting ban make far illustrate clout oil industry control spending bill also show momentum effort cut federal spending wide array cut elimination committee make only token effort restore funding save program few effort save agency come offer amendment save however quickly brush effort aside go start downsize take agency truly dynamic impact phase say also move step close cut current funding energy water program full last evening essentially rubber stamp subcommittee previous recommendation energy water measure now move full vote cut solar renewable energy funding half preserve funding elsewhere more basic science research credit,0,0,NA,NA,NA,NA,NA,NA,NA,Other,Other
